id,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,globalSales
sales_484,Super Monkey Ball: Banana Blitz,2006-01-01,Sega,Sega,Wii,74.0,5.7,E,2
sales_485,New Super Luigi U,2013-01-01,Nintendo,Nintendo,Wii U,77.0,7.9,E,2
sales_486,Spyro: Season of Ice,2001-01-01,Digital Eclipse,Vivendi Games,Game Boy Advance,74.0,8.0,E,2
sales_487,Dissidia: Final Fantasy,2008-01-01,Square Enix,Square Enix,PlayStation Portable (PSP),79.0,8.0,T,2
sales_488,Madden NFL 25,2013-01-01,EA Sports,Electronic Arts,Xbox 360,80.0,5.6,E,2
sales_489,Borderlands 2,2012-01-01,Gearbox Software,Take-Two Interactive,PlayStation 3,91.0,8.2,M,2
sales_490,Prince of Persia: The Sands of Time,2003-01-01,Ubisoft,Ubisoft,PlayStation 2,92.0,8.8,T,2
sales_491,Monster Hunter Tri,2009-01-01,Capcom,Nintendo,Wii,84.0,8.6,T,2
sales_492,LEGO Marvel Super Heroes,2013-01-01,TT Games,Warner Bros. Interactive Entertainment,Xbox 360,80.0,7.6,E10+,2
sales_493,Tom Clancy's Rainbow Six: Siege,2015-01-01,Ubisoft Montreal,Ubisoft,PlayStation 4,73.0,7.3,M,2
sales_494,Star Wars: The Force Unleashed,2008-01-01,LucasArts,LucasArts,PlayStation 3,71.0,6.6,T,2
sales_495,Guitar Hero II,2007-01-01,Harmonix Music Systems,Activision,Xbox 360,92.0,8.1,T,2
sales_496,Forza Motorsport 5,2013-01-01,Turn 10,Microsoft Game Studios,Xbox One,79.0,5.9,E,2
sales_497,Rock Band 2,2008-01-01,Harmonix Music Systems,Electronic Arts,Xbox 360,92.0,8.3,T,2
sales_498,Need for Speed: Hot Pursuit,2010-01-01,Criterion Games,Electronic Arts,Xbox 360,88.0,7.0,E10+,2
sales_499,LEGO Indiana Jones: The Original Adventures,2008-01-01,TT Fusion,Activision,Nintendo DS,80.0,7.9,E,2
sales_500,BioShock 2,2010-01-01,2K Marin,Take-Two Interactive,Xbox 360,88.0,8.2,M,2
sales_501,Star Wars: Knights of the Old Republic,2003-01-01,BioWare,Activision,Xbox,94.0,9.2,T,2
sales_502,Madden NFL 15,2014-01-01,EA Sports,Electronic Arts,PlayStation 4,81.0,6.1,E,2
sales_503,Pro Evolution Soccer 2012,2011-01-01,Konami,Konami Digital Entertainment,PlayStation 3,80.0,6.6,E,2
sales_504,Saints Row,2006-01-01,Volition Inc.,THQ,Xbox 360,81.0,7.5,M,2
sales_505,ATV Offroad Fury 2,2002-01-01,Rainbow Studios,THQ,PlayStation 2,82.0,8.9,E,2
sales_506,FIFA 15,2014-01-01,EA Sports,Electronic Arts,Xbox One,82.0,5.4,E,2
sales_507,Tom Clancy's The Division,2016-01-01,Massive Entertainment,Ubisoft,Xbox One,80.0,6.9,M,2
sales_508,Final Fantasy XIII,2010-01-01,Square Enix,Square Enix,Xbox 360,82.0,6.3,T,2
sales_509,The Sims: House Party,2001-01-01,Maxis,Electronic Arts,Windows PC,74.0,7.9,T,2
sales_510,Scribblenauts,2009-01-01,5TH Cell,Warner Bros. Interactive Entertainment,Nintendo DS,79.0,7.6,E10+,2
sales_511,Sonic Unleashed,2008-01-01,Sonic Team,Sega,Wii,66.0,7.3,E10+,2
sales_512,Pokemon Ranger,2006-01-01,HAL Labs,Nintendo,Nintendo DS,69.0,7.6,E,2
sales_513,Overwatch,2016-01-01,Blizzard Entertainment,Activision,PlayStation 4,90.0,6.1,T,2
sales_514,Hitman: Absolution,2012-01-01,Io Interactive,Square Enix,PlayStation 3,83.0,7.5,M,2
sales_515,Call of Duty: Roads to Victory,2007-01-01,Amaze Entertainment,Activision,PlayStation Portable (PSP),64.0,7.5,T,2
sales_516,Dance Dance Revolution Extreme,2004-01-01,KCET,Konami Digital Entertainment,PlayStation 2,77.0,9.0,E,2
sales_517,Final Fantasy Tactics Advance,2003-01-01,Square Enix,SquareSoft,Game Boy Advance,87.0,7.8,E,2
sales_518,Your Shape featuring Jenny McCarthy,2009-01-01,Ubisoft,Ubisoft,Wii,62.0,5.2,E,2
sales_519,Project Gotham Racing,2001-01-01,Bizarre Creations,Microsoft Game Studios,Xbox,85.0,8.2,E,2
sales_520,NBA 2K12,2011-01-01,Visual Concepts,Take-Two Interactive,PlayStation 3,90.0,6.7,E,2
sales_521,Need for Speed: Hot Pursuit 2,2002-01-01,Black Box,Electronic Arts,PlayStation 2,89.0,8.5,E,2
sales_522,Dynasty Warriors 4,2003-01-01,Omega Force,Tecmo Koei,PlayStation 2,78.0,9.3,T,2
sales_523,NBA 2K14,2013-01-01,Visual Concepts,Take-Two Interactive,PlayStation 3,84.0,4.9,E,2
sales_524,Parasite Eve,1998-01-01,SquareSoft,SquareSoft,PlayStation,81.0,8.9,M,2
sales_525,Tetris DS,2006-01-01,Nintendo,Nintendo,Nintendo DS,84.0,8.7,E,2
sales_526,Battlefield: Hardline,2015-01-01,Visceral Games,Electronic Arts,PlayStation 4,73.0,5.0,M,2
sales_527,Mortal Kombat,2011-01-01,NetherRealm Studios,Warner Bros. Interactive Entertainment,Xbox 360,86.0,8.3,M,2
sales_528,Borderlands,2009-01-01,Gearbox Software,Take-Two Interactive,PlayStation 3,83.0,7.9,M,2
sales_529,Devil May Cry 3: Dante's Awakening,2005-01-01,Capcom,Capcom,PlayStation 2,84.0,9.0,M,2
sales_530,NBA 2K11,2010-01-01,Visual Concepts,Take-Two Interactive,Xbox 360,89.0,8.1,E,2
sales_531,Dying Light,2015-01-01,Techland,Warner Bros. Interactive Entertainment,PlayStation 4,74.0,7.9,M,2
sales_532,Dead Rising,2006-01-01,Capcom,Capcom,Xbox 360,85.0,7.6,M,2
sales_533,World of Warcraft: Cataclysm,2010-01-01,Blizzard Entertainment,Activision,Windows PC,90.0,5.6,T,2
sales_534,Tetris Worlds,2002-01-01,Blue Planet Software,THQ,PlayStation 2,44.0,6.2,E,2
sales_535,Final Fantasy III,2006-01-01,Matrix Software,Square Enix,Nintendo DS,77.0,7.1,E10+,2
sales_536,Mario Party 5,2003-01-01,Hudson,Nintendo,Nintendo GameCube,69.0,8.2,E,2
sales_537,Portal 2,2011-01-01,Valve Software,Valve Software,Xbox 360,95.0,8.5,E10+,2
sales_538,Mario Sports Mix,2010-01-01,Square Enix,Nintendo,Wii,64.0,7.1,E,2
sales_539,Need for Speed: Most Wanted 5-1-0,2005-01-01,EA Canada,Electronic Arts,PlayStation Portable (PSP),72.0,7.8,E10+,2
sales_540,The Sims 2: Pets,2006-01-01,Full Fat,Electronic Arts,Nintendo DS,49.0,5.2,E,2
sales_541,Dance Dance Revolution: Hottest Party,2007-01-01,Konami,Konami Digital Entertainment,Wii,73.0,7.1,E10+,2
sales_542,DriveClub,2014-01-01,Evolution Studios,Sony Computer Entertainment,PlayStation 4,71.0,6.1,E,2
sales_543,UFC 2009 Undisputed,2009-01-01,Yuke's,THQ,Xbox 360,83.0,7.9,T,2
sales_544,Metal Gear Solid: Peace Walker,2010-01-01,Kojima Productions,Konami Digital Entertainment,PlayStation Portable (PSP),89.0,8.9,T,2
sales_545,The Incredibles,2004-01-01,Helixe,THQ,Game Boy Advance,55.0,,E,2
sales_546,Kingdom Hearts: Birth by Sleep,2010-01-01,Square Enix,Square Enix,PlayStation Portable (PSP),82.0,8.6,E10+,2
sales_547,SoulCalibur II,2003-01-01,Namco,Namco Bandai Games,PlayStation 2,92.0,8.8,T,2
sales_548,Need for Speed: ProStreet,2007-01-01,EA Black Box,Electronic Arts,Xbox 360,72.0,7.1,E10+,2
sales_549,Sonic Mega Collection,2002-01-01,Sonic Team,Infogrames,Nintendo GameCube,75.0,8.8,E,2
sales_550,Need For Speed: Undercover,2008-01-01,EA Vancouver,Electronic Arts,PlayStation 3,59.0,5.9,T,2
sales_551,SOCOM: U.S. Navy SEALs: Combined Assault,2006-01-01,Zipper Interactive,Sony Computer Entertainment,PlayStation 2,72.0,9.0,T,2
sales_552,Peter Jackson's King Kong: The Official Game of the Movie,2005-01-01,Ubisoft Montpellier,Ubisoft,PlayStation 2,82.0,8.2,T,2
sales_553,Need for Speed: ProStreet,2007-01-01,EA Black Box,Electronic Arts,PlayStation 3,73.0,6.0,E10+,2
sales_554,Donkey Kong Country,2003-01-01,Rare Ltd.,Nintendo,Game Boy Advance,78.0,8.9,E,2
sales_555,Dance Central 2,2011-01-01,Harmonix Music Systems,Microsoft Game Studios,Xbox 360,86.0,8.2,T,2
sales_556,Carnival Games,2008-01-01,Cat Daddy Games,Take-Two Interactive,Nintendo DS,48.0,3.3,E,2
sales_557,NBA Live 2004,2003-01-01,EA Sports,Electronic Arts,PlayStation 2,86.0,7.7,E,2
sales_558,Call of Duty 2,2005-01-01,Infinity Ward,Activision,Xbox 360,89.0,8.1,T,2
sales_559,Rayman Raving Rabbids: TV Party,2008-01-01,"Ubisoft Paris, Ubisoft Montpellier",Ubisoft,Wii,73.0,7.7,E10+,2
sales_560,Pokémon Mystery Dungeon: Blue Rescue Team,2005-01-01,ChunSoft,Nintendo,Nintendo DS,62.0,8.1,E,2
sales_561,Dark Souls,2011-01-01,From Software,Namco Bandai Games,PlayStation 3,89.0,8.7,M,2
sales_562,Just Dance 3,2011-01-01,Ubisoft,Ubisoft,Xbox 360,70.0,7.7,E10+,2
sales_563,Battlefield 4,2013-01-01,EA DICE,Electronic Arts,Xbox One,81.0,6.6,M,2
sales_564,Fire Emblem: Awakening,2012-01-01,Intelligent Systems,Nintendo,Nintendo 3DS,92.0,9.1,T,2
sales_565,Need for Speed: The Run,2011-01-01,Black Box,Electronic Arts,PlayStation 3,64.0,6.4,T,2
sales_566,Dragon Age: Inquisition,2014-01-01,BioWare,Electronic Arts,PlayStation 4,89.0,7.4,M,2
sales_567,Dead Space,2008-01-01,EA Redwood Shores,Electronic Arts,PlayStation 3,88.0,8.8,M,2
sales_568,Mortal Kombat vs. DC Universe,2008-01-01,Midway,Midway Games,PlayStation 3,76.0,7.1,T,2
sales_569,TouchMaster,2007-01-01,Midway Studios - San Diego,Midway Games,Nintendo DS,71.0,5.7,E10+,2
sales_570,Tenchu: Stealth Assassins,1997-01-01,Acquire,Activision,PlayStation,87.0,8.8,M,1
sales_571,Harry Potter and the Chamber of Secrets,2002-01-01,Eurocom Entertainment Software,Electronic Arts,Game Boy Advance,76.0,7.9,E,1
sales_572,Kingdom Hearts 358/2 Days,2009-01-01,h.a.n.d. Inc.,Square Enix,Nintendo DS,75.0,7.8,E10+,1
sales_573,Skate 3,2010-01-01,EA Black Box,Electronic Arts,PlayStation 3,80.0,7.6,T,1
sales_574,Need for Speed Rivals,2013-01-01,Ghost Games,Electronic Arts,PlayStation 4,80.0,6.2,E10+,1
sales_575,Spyro: Enter the Dragonfly,2002-01-01,Check Six Games,Universal Interactive,PlayStation 2,56.0,4.1,E,1
sales_576,Devil May Cry 2,2003-01-01,Capcom,Capcom,PlayStation 2,68.0,6.6,M,1
sales_577,Hot Shots Golf: Open Tee,2004-01-01,Clap Hanz,Sony Computer Entertainment,PlayStation Portable (PSP),81.0,8.7,E10+,1
sales_578,Forza Horizon,2012-01-01,"PLAYGROUND, Playground Games",Microsoft Game Studios,Xbox 360,85.0,8.4,T,1
sales_579,Tom Clancy's Rainbow Six: Vegas,2006-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,88.0,8.3,M,1
sales_580,Crash Nitro Kart,2003-01-01,Vicarious Visions,Vivendi Games,PlayStation 2,69.0,7.7,E,1
sales_581,Resident Evil 6,2012-01-01,Capcom,Capcom,Xbox 360,67.0,5.0,M,1
sales_582,Grand Theft Auto: San Andreas,2005-01-01,Rockstar North,Take-Two Interactive,Xbox,93.0,8.6,AO,1
sales_583,NBA Street Vol. 2,2003-01-01,Electronic Arts,Electronic Arts,PlayStation 2,90.0,8.8,E,1
sales_584,Def Jam Vendetta,2003-01-01,Aki Corp.,Electronic Arts,PlayStation 2,80.0,8.9,T,1
sales_585,Kirby Squeak Squad,2006-01-01,"Flagship, HAL Labs",Nintendo,Nintendo DS,71.0,8.1,E,1
sales_586,Burnout Paradise,2008-01-01,Criterion Games,Electronic Arts,PlayStation 3,87.0,7.7,E10+,1
sales_587,The Sims 3,2010-01-01,The Sims Studio,Electronic Arts,PlayStation 3,78.0,6.4,T,1
sales_588,FIFA Soccer 09,2008-01-01,EA Canada,Electronic Arts,Xbox 360,87.0,8.0,E,1
sales_589,Dragon Ball Z: Budokai 3,2004-01-01,Dimps Corporation,Atari,PlayStation 2,77.0,8.9,T,1
sales_590,Call of Duty: World at War,2008-01-01,Exakt,Activision,Wii,83.0,7.6,M,1
sales_591,Tom Clancy's Ghost Recon,2002-01-01,Ubisoft,Ubisoft,PlayStation 2,63.0,8.3,M,1
sales_592,BioShock Infinite,2013-01-01,Irrational Games,Take-Two Interactive,Xbox 360,93.0,8.5,M,1
sales_593,X-Men Legends,2004-01-01,Raven Software,Activision,PlayStation 2,79.0,8.5,T,1
sales_594,Mortal Kombat vs. DC Universe,2008-01-01,Midway,Midway Games,Xbox 360,72.0,7.5,T,1
sales_595,Destiny: The Taken King,2015-01-01,Bungie,Activision,PlayStation 4,86.0,6.0,T,1
sales_596,Red Faction,2001-01-01,Volition Inc.,THQ,PlayStation 2,88.0,8.0,M,1
sales_597,The Sims: Makin' Magic,2003-01-01,Maxis,Electronic Arts,Windows PC,80.0,8.6,T,1
sales_598,Mario Party: Island Tour,2013-01-01,"Nintendo, Nd Cube",Nintendo,Nintendo 3DS,57.0,6.3,E,1
sales_599,MX Unleashed,2004-01-01,Rainbow Studios,THQ,PlayStation 2,80.0,9.2,E,1
sales_600,PaRappa The Rapper,1996-01-01,NanaOn-Sha,Sony Computer Entertainment,PlayStation,92.0,7.4,,1
sales_601,Guitar Hero: World Tour,2008-01-01,Neversoft Entertainment,Activision,PlayStation 3,84.0,7.5,T,1
sales_602,Need for Speed: Shift,2009-01-01,Slightly Mad Studios,Electronic Arts,Xbox 360,83.0,6.5,E,1
sales_603,Diablo III,2013-01-01,Blizzard Entertainment,Activision,PlayStation 3,86.0,6.4,M,1
sales_604,LittleBigPlanet 3,2014-01-01,Sumo Digital,Sony Computer Entertainment,PlayStation 4,79.0,7.1,E,1
sales_605,Star Wars Rogue Leader: Rogue Squadron II,2001-01-01,Factor 5,LucasArts,Nintendo GameCube,90.0,8.6,T,1
sales_606,Mario Super Sluggers,2008-01-01,Namco Bandai Games,Nintendo,Wii,69.0,7.8,E,1
sales_607,Monopoly,2008-01-01,Electronic Arts,Electronic Arts,Wii,70.0,7.8,E,1
sales_608,Madden NFL 09,2008-01-01,EA Tiburon,Electronic Arts,PlayStation 3,85.0,4.4,E,1
sales_609,Batman: Arkham Origins,2013-01-01,WB Games Montreal,Warner Bros. Interactive Entertainment,Xbox 360,74.0,7.5,T,1
sales_610,Game Party 2,2008-01-01,Midway,Midway Games,Wii,29.0,4.6,E,1
sales_611,Mortal Kombat: Deception,2004-01-01,Midway,Midway Games,PlayStation 2,81.0,8.5,M,1
sales_612,NBA 2K17,2016-01-01,Visual Concepts,Take-Two Interactive,PlayStation 4,88.0,6.7,E,1
sales_613,Toy Story Mania!,2009-01-01,Papaya Studios,Disney Interactive Studios,Wii,49.0,6.6,E,1
sales_614,Star Fox Adventures,2002-01-01,Rare Ltd.,Nintendo,Nintendo GameCube,82.0,7.7,T,1
sales_615,Madden NFL 25,2013-01-01,EA Sports,Electronic Arts,PlayStation 3,76.0,4.1,E,1
sales_616,Dynasty Warriors 3,2001-01-01,Omega Force,THQ,PlayStation 2,78.0,9.1,T,1
sales_617,Madden NFL 06,2005-01-01,EA Sports,Electronic Arts,Xbox,86.0,6.7,E,1
sales_618,Shrek 2,2004-01-01,"Luxoflux, Inc.",Activision,PlayStation 2,71.0,8.5,E,1
sales_619,The Legend of Dragoon,1999-01-01,SCEI,Sony Computer Entertainment,PlayStation,74.0,8.4,T,1
sales_620,Star Wars: The Force Unleashed,2008-01-01,Krome Studios,LucasArts,Wii,71.0,7.9,T,1
sales_621,NBA Live 2002,2001-01-01,Electronic Arts,Electronic Arts,PlayStation 2,70.0,7.4,E,1
sales_622,Just Cause 3,2015-01-01,Avalanche Studios,Square Enix,PlayStation 4,73.0,6.5,M,1
sales_623,Chrono Cross,1999-01-01,SquareSoft,SquareSoft,PlayStation,94.0,8.1,T,1
sales_624,Jak 3,2004-01-01,Naughty Dog,Sony Computer Entertainment,PlayStation 2,84.0,8.6,T,1
sales_625,Kingdom Hearts: Chain of Memories,2004-01-01,Jupiter Corporation,Square Enix,Game Boy Advance,76.0,7.9,E,1
sales_626,Max Payne 3,2012-01-01,Rockstar Studios,Take-Two Interactive,PlayStation 3,87.0,7.8,M,1
sales_627,LEGO Marvel Super Heroes,2013-01-01,TT Games,Warner Bros. Interactive Entertainment,PlayStation 3,82.0,7.9,E10+,1
sales_628,Phineas and Ferb,2009-01-01,Altron,Disney Interactive Studios,Nintendo DS,80.0,4.5,E,1
sales_629,NCAA Football 06,2005-01-01,EA Sports,Electronic Arts,PlayStation 2,87.0,8.5,E,1
sales_630,Rayman Raving Rabbids 2,2007-01-01,Ubisoft Montpellier,Ubisoft,Wii,67.0,8.3,E10+,1
sales_631,Kirby: Triple Deluxe,2014-01-01,HAL Labs,Nintendo,Nintendo 3DS,80.0,8.8,E,1
sales_632,Sonic Classic Collection,2010-01-01,Creative Assembly,Sega,Nintendo DS,70.0,7.5,E,1
sales_633,inFAMOUS 2,2011-01-01,Sucker Punch,Sony Computer Entertainment,PlayStation 3,83.0,8.4,T,1
sales_634,World of Warcraft: Mists of Pandaria,2012-01-01,Blizzard Entertainment,Activision,Windows PC,82.0,4.8,T,1
sales_635,Namco Museum,2001-01-01,Mass Media,Namco Bandai Games,PlayStation 2,72.0,6.0,E,1
sales_636,The Sims: Hot Date,2001-01-01,Maxis,Electronic Arts,Windows PC,85.0,7.9,T,1
sales_637,Demon's Souls,2009-01-01,From Software,Namco Bandai Games,PlayStation 3,89.0,8.9,M,1
sales_638,The Orange Box,2007-01-01,Valve Software,Electronic Arts,Xbox 360,96.0,8.9,M,1
sales_639,DDRMAX2: Dance Dance Revolution,2003-01-01,Konami,Konami Digital Entertainment,PlayStation 2,82.0,8.2,E,1
sales_640,Virtua Fighter 4,2002-01-01,Sega AM2,Sega,PlayStation 2,94.0,8.0,T,1
sales_641,Mafia III,2016-01-01,Hangar 13,Take-Two Interactive,PlayStation 4,68.0,5.1,M,1
sales_642,Sly 2: Band of Thieves,2004-01-01,Sucker Punch,Sony Computer Entertainment,PlayStation 2,88.0,9.0,E,1
sales_643,Sonic Advance 2,2002-01-01,Dimps Corporation,Sega,Game Boy Advance,83.0,8.3,E,1
sales_644,Madden NFL 07,2006-01-01,EA Tiburon,Electronic Arts,Xbox 360,80.0,6.0,E,1
sales_645,NBA 2K11,2010-01-01,Visual Concepts,Take-Two Interactive,PlayStation 3,89.0,7.6,E,1
sales_646,Forza Motorsport 6,2015-01-01,Turn 10,Microsoft Game Studios,Xbox One,87.0,7.9,E,1
sales_647,The Evil Within,2014-01-01,Tango Gameworks,Bethesda Softworks,PlayStation 4,75.0,7.3,M,1
sales_648,Metroid Prime 3: Corruption,2007-01-01,Retro Studios,Nintendo,Wii,90.0,8.9,T,1
sales_649,Midnight Club II,2003-01-01,Rockstar San Diego,Take-Two Interactive,PlayStation 2,85.0,8.5,T,1
sales_650,The Getaway: Black Monday,2004-01-01,SCEE London Studio,Sony Computer Entertainment,PlayStation 2,57.0,7.6,M,1
sales_651,50 Cent: Bulletproof,2005-01-01,Genuine Games,Vivendi Games,PlayStation 2,47.0,6.6,M,1
sales_652,Dead or Alive 3,2001-01-01,Team Ninja,Microsoft Game Studios,Xbox,87.0,8.6,T,1
sales_653,Dragon Quest Monsters: Joker,2006-01-01,TOSE,Square Enix,Nintendo DS,75.0,7.4,E10+,1
sales_654,LEGO Star Wars III: The Clone Wars,2011-01-01,Traveller's Tales,LucasArts,Wii,76.0,7.7,E10+,1
sales_655,UFC 2009 Undisputed,2009-01-01,THQ,THQ,PlayStation 3,84.0,8.1,T,1
sales_656,The SpongeBob SquarePants Movie,2004-01-01,Heavy Iron Studios,THQ,PlayStation 2,75.0,9.0,E,1
sales_657,Golden Sun,2001-01-01,Camelot Software Planning,Nintendo,Game Boy Advance,91.0,9.3,E,1
sales_658,Def Jam: Fight for NY,2004-01-01,Aki Corp.,Electronic Arts,PlayStation 2,83.0,8.9,M,1
sales_659,Tom Clancy's Ghost Recon,2002-01-01,Red Storm Entertainment,Ubisoft,Xbox,84.0,6.1,M,1
sales_660,State of Emergency,2002-01-01,VIS Entertainment,Take-Two Interactive,PlayStation 2,71.0,5.7,M,1
sales_661,The Urbz: Sims in the City,2004-01-01,Maxis,Electronic Arts,PlayStation 2,70.0,8.2,T,1
sales_662,Star Wars: Starfighter,2001-01-01,LucasArts,Activision,PlayStation 2,84.0,8.0,T,1
sales_663,Star Wars: Battlefront,2004-01-01,Pandemic Studios,Activision,Xbox,80.0,9.1,T,1
sales_664,Madden NFL 17,2016-01-01,EA Sports,Electronic Arts,PlayStation 4,82.0,4.9,E,1
sales_665,Just Cause 2,2010-01-01,Avalanche Studios,Square Enix,PlayStation 3,83.0,8.0,M,1
sales_666,FIFA Soccer 08,2007-01-01,EA Canada,Electronic Arts,PlayStation 3,81.0,7.1,E,1
sales_667,Crackdown,2007-01-01,Realtime Worlds,Microsoft Game Studios,Xbox 360,83.0,8.0,M,1
sales_668,Wii Party U,2013-01-01,Nd Cube,Nintendo,Wii U,65.0,6.8,E,1
sales_669,Dance Dance Revolution X,2008-01-01,Konami,Konami Digital Entertainment,PlayStation 2,55.0,6.2,E10+,1
sales_670,Xenosaga Episode I: Der Wille zur Macht,2002-01-01,Monolith Soft,Namco Bandai Games,PlayStation 2,83.0,8.7,T,1
sales_671,Kinect Star Wars,2012-01-01,Terminal Reality,Microsoft Game Studios,Xbox 360,55.0,3.5,T,1
sales_672,Dragon's Dogma,2012-01-01,Capcom,Capcom,PlayStation 3,78.0,8.3,M,1
sales_673,The Order: 1886,2015-01-01,"Ready at Dawn, SCE Santa Monica",Sony Computer Entertainment,PlayStation 4,63.0,6.6,M,1
sales_674,SSX Tricky,2001-01-01,EA Canada,Electronic Arts,PlayStation 2,92.0,8.9,E,1
sales_675,Knack,2013-01-01,SCE Japan Studio,Sony Computer Entertainment Europe,PlayStation 4,54.0,6.5,E10+,1
sales_676,Dragon Quest VI: Realms of Revelation,2010-01-01,ArtePiazza,Nintendo,Nintendo DS,78.0,8.1,T,1
sales_677,Crash Bandicoot: The Huge Adventure,2002-01-01,Vicarious Visions,Universal Interactive,Game Boy Advance,78.0,7.9,E,1
sales_678,Hitman: Absolution,2012-01-01,Io Interactive,Square Enix,Xbox 360,79.0,7.1,M,1
sales_679,The Crew,2014-01-01,"Ubisoft Reflections, Ivory Tower",Ubisoft,PlayStation 4,61.0,5.4,T,1
sales_680,NBA 2K15,2014-01-01,Visual Concepts,Take-Two Interactive,Xbox One,82.0,6.3,E,1
sales_681,Madden NFL 2005,2004-01-01,EA Tiburon,Electronic Arts,Xbox,91.0,7.6,E,1
sales_682,Star Ocean: Till The End of Time,2003-01-01,Tri-Ace,Ubisoft,PlayStation 2,80.0,7.7,T,1
sales_683,Call of Duty: Modern Warfare 3,2011-01-01,"Infinity Ward, Sledgehammer Games",Activision,Windows PC,78.0,2.5,M,1
sales_684,Dishonored,2012-01-01,Arkane Studios,Bethesda Softworks,Xbox 360,88.0,7.9,M,1
sales_685,The Beatles: Rock Band,2009-01-01,Harmonix Music Systems,MTV Games,Wii,89.0,8.9,T,1
sales_686,Ace Combat 5: The Unsung War,2004-01-01,Namco,Sony Computer Entertainment Europe,PlayStation 2,84.0,9.1,T,1
sales_687,Need for Speed Underground,2003-01-01,Electronic Arts,Electronic Arts,Xbox,83.0,8.7,E,1
sales_688,Tetris Worlds,2001-01-01,3d6 Games,THQ,Game Boy Advance,65.0,,E,1
sales_689,Deal or No Deal,2007-01-01,Artefacts Studio,Mindscape,Nintendo DS,20.0,1.9,E,1
sales_690,Portal 2,2011-01-01,Valve Software,Valve,PlayStation 3,95.0,8.4,E10+,1
sales_691,NCAA Football 07,2006-01-01,EA Sports,Electronic Arts,PlayStation 2,87.0,8.6,E,1
sales_692,The Sims 3: Late Night Expansion Pack,2010-01-01,The Sims Studio,Electronic Arts,Windows PC,74.0,5.3,T,1
sales_693,No Man's Sky,2016-01-01,Hello Games,Hello Games,PlayStation 4,71.0,4.5,T,1
sales_694,SOCOM 3: U.S. Navy SEALs,2005-01-01,Zipper Interactive,Sony Computer Entertainment,PlayStation 2,82.0,8.8,M,1
sales_695,BioShock Infinite,2013-01-01,Irrational Games,Take-Two Interactive,PlayStation 3,94.0,8.5,M,1
sales_696,Harry Potter and the Sorcerer's Stone,2001-01-01,Griptonite Games,Electronic Arts,Game Boy Advance,64.0,7.1,E,1
sales_697,Dragon Ball Z: The Legacy of Goku,2002-01-01,Webfoot Technologies,Infogrames,Game Boy Advance,53.0,6.9,E,1
sales_698,Resident Evil 4,2005-01-01,Capcom,Capcom,Nintendo GameCube,96.0,9.4,M,1
sales_699,Personal Trainer: Math,2007-01-01,Jupiter Corporation,Nintendo,Nintendo DS,63.0,,E,1
sales_700,Game Party 3,2009-01-01,Farsight Studios,Warner Bros. Interactive Entertainment,Wii,37.0,,E,1
sales_701,Need For Speed: Undercover,2008-01-01,EA Vancouver,Electronic Arts,Xbox 360,64.0,5.9,T,1
sales_702,Sonic Colors,2010-01-01,Sonic Team,Sega,Wii,78.0,8.5,E,1
sales_703,Saints Row 2,2008-01-01,Volition Inc.,THQ,PlayStation 3,82.0,7.9,M,1
sales_704,Sid Meier's Civilization V,2010-01-01,Firaxis Games,Take-Two Interactive,Windows PC,90.0,7.9,E10+,1
sales_705,The Sims: Superstar,2003-01-01,Maxis,Electronic Arts,Windows PC,79.0,8.2,T,1
sales_706,Metroid Fusion,2002-01-01,Nintendo,Nintendo,Game Boy Advance,92.0,9.1,E,1
sales_707,We Ski,2008-01-01,Bandai Namco Games,Namco Bandai Games,Wii,67.0,8.5,E,1
sales_708,Star Wars Battlefront: Renegade Squadron,2007-01-01,Rebellion,LucasArts,PlayStation Portable (PSP),73.0,7.9,T,1
sales_709,SSX 3,2003-01-01,EA Canada,Electronic Arts,PlayStation 2,93.0,9.1,E,1
sales_710,Madden NFL 2001,2000-01-01,EA Sports,Electronic Arts,PlayStation,90.0,6.8,E,1
sales_711,Star Wars: Battlefront II,2005-01-01,Pandemic Studios,Activision,Xbox,83.0,8.9,T,1
sales_712,Tony Hawk's Pro Skater 3,2001-01-01,Shaba Games,Activision,PlayStation,87.0,8.3,E,1
sales_713,Dragon Age: Origins,2009-01-01,BioWare,Electronic Arts,PlayStation 3,87.0,7.9,M,1
sales_714,Spy Hunter,2001-01-01,Paradigm Entertainment,Midway Games,PlayStation 2,84.0,7.8,T,1
sales_715,NCAA Football 2004,2003-01-01,EA Sports,Electronic Arts,PlayStation 2,94.0,8.8,E,1
sales_716,Fight Night Round 3,2006-01-01,EA Chicago,Electronic Arts,PlayStation 3,83.0,7.9,T,1
sales_717,StarCraft II: Heart of the Swarm,2013-01-01,Blizzard Entertainment,Activision,Windows PC,86.0,7.9,T,1
sales_718,SpongeBob SquarePants: Battle for Bikini Bottom,2003-01-01,Heavy Iron Studios,THQ,PlayStation 2,71.0,9.0,E,1
sales_719,Until Dawn,2015-01-01,SuperMassive Games,Sony Computer Entertainment Europe,PlayStation 4,79.0,8.2,M,1
sales_720,Big Beach Sports,2008-01-01,HB Studios Multimedia,THQ,Wii,44.0,8.0,E,1
sales_721,SSX,2000-01-01,EA Sports Big,Electronic Arts,PlayStation 2,93.0,8.3,E,1
