id,name,releaseYear,developer,platform,series
dbpedia_9798,The Lego Movie Videogame,2014-01-01,TT Fusion,Windows PC,The Lego Movie (franchise)
dbpedia_9799,World Championship Poker,2005-01-01,Point of View (developer),Windows PC,
dbpedia_9800,Another World (video game),2018-01-01,Interplay Entertainment,Nintendo 3DS,
dbpedia_9801,Atlantis: The Lost Tales,1997-01-01,Cryo Interactive,,
dbpedia_9802,Might & Magic: Clash of Heroes,2013-01-01,Tag Games,Android,Might and Magic
dbpedia_9804,Tearaway (video game),2013-01-01,Media Molecule,PlayStation Vita,
dbpedia_9805,Puzzle Bobble 2,1996-01-01,Probe Entertainment,Neo Geo MVS,Puzzle Bobble
dbpedia_9806,Picture Perfect Hair Salon,2009-01-01,505 Games,Nintendo DSi,
dbpedia_9808,Daisenryaku,2001-01-01,SystemSoft Alpha,PlayStation Portable (PSP),
dbpedia_9809,Police Quest III: The Kindred,,Sierra Entertainment,,Police Quest
dbpedia_9811,List of Saiyuki video games,2001-01-01,Bandai,Game Boy Advance,
dbpedia_9812,Klonoa: Moonlight Museum,1999-01-01,Namco,,Klonoa
dbpedia_9813,Space Rogue,1990-01-01,Origin Systems,,
dbpedia_9814,Finding Nemo (video game),2003-01-01,Vicarious Visions,Windows PC,
dbpedia_9815,Toki Tori 2,2013-01-01,Two Tribes B.V.,Nintendo Switch,
dbpedia_9816,Madden NFL 06,2005-01-01,Exient Entertainment,Nintendo DS,Madden NFL
dbpedia_9817,Michael Jackson's Moonwalker,1990-01-01,Arc System Works,,
dbpedia_9818,Daisenryaku,2005-01-01,Genki (company),PlayStation 3,
dbpedia_9819,Minecraft,2017-01-01,Mojang Studios,PlayStation 4,Minecraft (franchise)
dbpedia_9820,Amok (video game),1996-01-01,Lemon (developer),Sega Saturn,
dbpedia_9821,Hyrule Warriors,2016-01-01,Omega Force,Nintendo 3DS,The Legend of Zelda
dbpedia_9822,Crash of the Titans,2007-01-01,Radical Entertainment,,Crash Bandicoot
dbpedia_9823,The Last Ninja,,System 3 (company),,Last Ninja
dbpedia_9824,Sonic Adventure,2003-01-01,Sonic Team,Sega Dreamcast,Sonic the Hedgehog
dbpedia_9826,Oddworld: Stranger's Wrath,2020-01-01,PlayStation 3,PlayStation 4,Oddworld
dbpedia_9827,Metroid II: Return of Samus,1992-01-01,Nintendo R&D1,Game Boy,Metroid
dbpedia_9828,Fantasy Empires,,Silicon Knights,,Mystara
dbpedia_9829,Madden NFL 10,2009-01-01,EA Tiburon,,Madden NFL
dbpedia_9830,Batman Returns (video game),1993-01-01,Tiger Electronics,,
dbpedia_9831,Jotun (video game),2016-01-01,Thunder Lotus Games,macOS,
dbpedia_9832,FIFA 07,2006-01-01,EA Canada,Xbox 360,FIFA (video game series)
dbpedia_9833,Star Ocean: The Second Story,2015-01-01,Tose (company),PlayStation 3,Star Ocean
dbpedia_9835,WolfQuest,2015-01-01,Minnesota Zoo,Windows PC,
dbpedia_9836,Progear,2001-01-01,Cave (company),,
dbpedia_9837,GoldenEye: Rogue Agent,2004-01-01,EA Tiburon,Nintendo GameCube,James Bond in video games
dbpedia_9839,Freddi Fish 3: The Case of the Stolen Conch Shell,2014-01-01,Humongous Entertainment,Windows PC (Steam),
dbpedia_9841,Angry Birds (video game),2010-01-01,Rovio Entertainment,Wii,Angry Birds
dbpedia_9842,SpyHunter,2003-01-01,Fathammer,,
dbpedia_9843,Dynasty Warriors 8,2013-01-01,Omega Force,Nintendo Switch,Dynasty Warriors
dbpedia_9844,Space Rogue,1990-01-01,Origin Systems,,
dbpedia_9845,Little Computer People,1987-01-01,Activision,,
dbpedia_9846,N.O.V.A. 3,2013-01-01,,,N.O.V.A.
dbpedia_9847,Castlevania: Symphony of the Night,2007-01-01,Konami Computer Entertainment Tokyo,PlayStation Portable (PSP),Castlevania
dbpedia_9850,Dragon's Lair 3D: Return to the Lair,2004-01-01,Dragonstone Software,Xbox,Dragon's Lair
dbpedia_9851,Magic: The Gathering – Duels of the Planeswalkers 2012,2011-01-01,Stainless Games,Xbox 360,
dbpedia_9852,Kid Icarus: Uprising,2012-01-01,Sora Ltd.,Nintendo 3DS,Kid Icarus (series)
dbpedia_9855,Dying Light,2022-01-01,Techland,PlayStation 4,
dbpedia_9856,Tropico 4,2013-01-01,Haemimont Games,Xbox 360,Tropico (video game)
dbpedia_9857,Donkey Kong 3,2002-01-01,Nintendo Research & Development 1,,Donkey Kong
dbpedia_9858,Daisenryaku,2007-01-01,SystemSoft,,
dbpedia_9859,Dead by Daylight,2016-01-01,Behaviour Interactive,PlayStation 5,
dbpedia_9860,Secret of Mana,2014-01-01,Square (video game company),iOS (iPhone),Mana (series)
dbpedia_9862,Brunswick Pro Bowling,2016-01-01,FarSight Studios,Xbox 360,
dbpedia_9863,Doshin the Giant,2000-01-01,Param (company),,
dbpedia_9864,NASCAR Heat Evolution,,Monster Games,Windows PC,NASCAR Heat (series)
dbpedia_9865,List of Monster Jam video games,2015-01-01,Ubi Soft Barcelona,Wii,Monster Jam
dbpedia_9866,The First Templar,2011-01-01,Haemimont Games,Xbox 360,
dbpedia_9867,Streets of Rage (video game),1991-01-01,Sega,Sega Genesis / Mega Drive,Streets of Rage
dbpedia_9868,Formula One 05,2005-01-01,Studio Liverpool,PlayStation 2,Formula One (video game series)
dbpedia_9869,The Lost Vikings 2,2021-01-01,Beam Software,Windows PC,
dbpedia_9870,Earthworm Jim (video game),1996-01-01,Game Titan,Game Boy,Earthworm Jim
dbpedia_9872,Spore Creatures,2009-01-01,Electronic Arts,Nintendo DS,
dbpedia_9873,Star Wars Jedi Knight: Jedi Academy,2003-01-01,Raven Software,PlayStation 4,Star Wars: Jedi Knight (series)
dbpedia_9874,The 7th Guest,2015-01-01,Trilobyte (company),macOS,
dbpedia_9875,Naruto: Ultimate Ninja,2009-01-01,CyberConnect2,Android,
dbpedia_9876,List of Monster Jam video games,2008-01-01,Ubi Soft Barcelona,PlayStation 3,Monster Jam
dbpedia_9877,Popeye (video game),1982-01-01,Ikegami Tsushinki,,
dbpedia_9878,Leisure Suit Larry: Wet Dreams Don't Dry,2018-01-01,,Windows PC,Leisure Suit Larry
dbpedia_9879,Sonic the Hedgehog 4: Episode I,2011-01-01,,Windows PC,Sonic the Hedgehog
dbpedia_9880,The Legend of Zelda: Twilight Princess,2017-01-01,Tantalus Media,,The Legend of Zelda
dbpedia_9881,Castle Crashers,2019-01-01,The Behemoth,Windows PC,
dbpedia_9882,Ultratron,2013-01-01,Puppy Games,PlayStation Vita,
dbpedia_9883,Cyber Troopers Virtual-On Oratorio Tangram,1999-01-01,Sega AM3,Arcade Cabinet,Virtual On
dbpedia_9884,Hitman (2016 video game),2017-01-01,IO Interactive,Xbox One,Hitman (franchise)
dbpedia_9885,Super Mario Galaxy,2007-01-01,Nintendo EAD Tokyo,Wii,Super Mario
dbpedia_9886,Kinnikuman Muscle Grand Prix,2007-01-01,Syn Sophia,PlayStation 2,
dbpedia_9887,Caladrius (video game),2017-01-01,MOSS (company),Nintendo Switch,
dbpedia_9888,Lemmings (video game),1993-01-01,3DO Interactive Multiplayer,,
dbpedia_9889,A Bug's Life (video game),1998-01-01,Tiertex Design Studios,Windows PC,
dbpedia_9890,RoboCop (1988 video game),1989-01-01,Ocean Software,,List of RoboCop video games
dbpedia_9891,Snoopy DS: Let's Go Meet Snoopy and His Friends!,2008-01-01,Square Enix,Nintendo DS,
dbpedia_9892,Transformers: Prime – The Game,2012-01-01,Now Production,Wii,
dbpedia_9893,Age of Booty,2008-01-01,Certain Affinity,Xbox 360,
dbpedia_9894,The Adventures of Tintin: The Secret of the Unicorn (video game),2011-01-01,Ubisoft Montpellier,Windows PC,
dbpedia_9895,Putty Squad,2013-01-01,System 3 (software company),Sega Genesis / Mega Drive,
dbpedia_9896,Garou: Mark of the Wolves,1999-01-01,Code Mystics,PlayStation 4,Fatal Fury
dbpedia_9897,NHL 09,2008-01-01,EA Canada,PlayStation 2,NHL (video game series)
dbpedia_9899,Planet Nomads,2019-01-01,Craneballs Studio,Windows PC,
dbpedia_9900,The Pinball Arcade,2013-01-01,FarSight Studios,Wii U,
dbpedia_9901,PGA Tour 96,1995-01-01,NuFX,Game Boy,PGA Tour (video game series)
dbpedia_9902,Transference (video game),2018-01-01,SpectreVision,Xbox One,
dbpedia_9903,Zero Gunner 2,2001-01-01,Nintendo Switch,Android,
dbpedia_9904,The Swindle (video game),2015-01-01,Size Five Games,Windows PC,
dbpedia_9907,Fruit Ninja,2016-01-01,Halfbrick Studios,Android,
dbpedia_9908,The Sims Bustin' Out,2003-01-01,Griptonite Games,Xbox,The Sims
dbpedia_9910,Terraria,2014-01-01,Re-Logic,PlayStation 4,
dbpedia_9911,List of Monster Jam video games,2015-01-01,Torus Games,Nintendo Switch,Monster Jam
dbpedia_9912,List of Monster Jam video games,2010-01-01,Team6 Game Studios,Game Boy Advance,Monster Jam
dbpedia_9913,Daisenryaku,1996-01-01,Genki (company),PlayStation 3,
dbpedia_9914,List of Fire Pro Wrestling games,2002-01-01,Human Entertainment,Sega Genesis / Mega Drive,Fire Pro Wrestling
dbpedia_9915,SimCity (1989 video game),2008-01-01,Superior Software,,SimCity
dbpedia_9916,Luxor 2,2006-01-01,MumboJumbo,iOS (iPhone),Luxor (video game)
dbpedia_9917,Crash Bandicoot: The Wrath of Cortex,2002-01-01,Traveller's Tales,Nintendo GameCube,Crash Bandicoot
dbpedia_9918,James Bond 007: Nightfire,2002-01-01,Aspyr,Nintendo GameCube,James Bond in video games
dbpedia_9919,Astro Boy: The Video Game,2009-01-01,High Voltage Software,Wii,
dbpedia_9920,Shadow Fight 2,2018-01-01,,macOS,Shadow Fight
dbpedia_9921,Machinarium,2019-01-01,Amanita Design,Nintendo Switch,
dbpedia_9922,Cliffhanger (video game),1993-01-01,Virgin,Sega Genesis / Mega Drive,
dbpedia_9923,Epic Saga: Extreme Fighter,2007-01-01,Double Fine Productions,,
dbpedia_9926,Super Castlevania IV,1991-01-01,Konami,Super Nintendo (SNES),Castlevania
dbpedia_9927,Oddworld: Stranger's Wrath,2022-01-01,BlackBerry,iOS (iPhone),Oddworld
dbpedia_9928,Medieval II: Total War,2022-01-01,Feral Interactive,macOS,Total War (video game series)
dbpedia_9929,Oddworld: Stranger's Wrath,2012-01-01,Ouya,iOS (iPhone),Oddworld
dbpedia_9930,Lula 3D,2005-01-01,CDV Software,Windows PC,
dbpedia_9931,Ascend: Hand of Kul,2013-01-01,Signal Studios,Windows PC,
dbpedia_9932,List of Fire Pro Wrestling games,1994-01-01,Human Entertainment,PlayStation 2,Fire Pro Wrestling
dbpedia_9933,Haegemonia: Legions of Iron,2002-01-01,Microïds,iOS (iPhone),
dbpedia_9934,Free Running (video game),2007-01-01,Core Design,PlayStation Portable (PSP),
dbpedia_9935,Batman Returns (video game),1992-01-01,Konami,Nintendo Entertainment System (NES),
dbpedia_9936,Wolfenstein II: The New Colossus,2018-01-01,MachineGames,Xbox One,Wolfenstein
dbpedia_9937,Panzer Dragoon (video game),1996-01-01,Sega,Nintendo Switch,Panzer Dragoon
dbpedia_9938,Panzer Dragoon (video game),2002-01-01,Team Andromeda,PlayStation 2,Panzer Dragoon
dbpedia_9939,Umihara Kawase,2009-01-01,Suzak Inc.,PlayStation Vita,
dbpedia_9940,Spore Creatures,2009-01-01,Maxis,,
dbpedia_9941,Postal (video game),2022-01-01,Running with Scissors (company),Android,Postal (video game series)
dbpedia_9942,Street Fighter EX,1997-01-01,Arika,PlayStation,
dbpedia_9943,The Secret of Monkey Island,2009-01-01,Lucasfilm Games,macOS,Monkey Island
dbpedia_9944,Tom Clancy's Rainbow Six 3: Raven Shield,2004-01-01,Red Storm Entertainment,Nintendo GameCube,Tom Clancy's Rainbow Six
dbpedia_9945,Bugs Bunny in Double Trouble,1996-01-01,Atod,Sega Game Gear,
dbpedia_9946,Patapon 3,2011-01-01,Japan Studio,PlayStation Portable (PSP),
dbpedia_9947,Earthworm Jim (video game),2001-01-01,Rainbow Arts,Game Boy,Earthworm Jim
dbpedia_9948,Bloons Tower Defense,2014-01-01,Ninja Kiwi,iOS (iPhone),
dbpedia_9949,Time Stalkers,1999-01-01,Climax Entertainment,Sega Dreamcast,
dbpedia_9950,Need for Speed: Carbon,2006-01-01,EA Canada,,Need for Speed
dbpedia_9951,List of Monster Jam video games,2002-01-01,Ubi Soft Barcelona,Wii,Monster Jam
dbpedia_9952,Shiren the Wanderer Gaiden: Asuka the Swordswoman,2004-01-01,Neverland (company),Sega Dreamcast,Mystery Dungeon
dbpedia_9953,Pro Pinball: The Web,1996-01-01,,,Pro Pinball
dbpedia_9955,The Sims 3,2009-01-01,Edge of Reality,macOS,The Sims
dbpedia_9956,Oddworld: Stranger's Wrath,2014-01-01,BlackBerry,PlayStation 4,Oddworld
dbpedia_9957,Air (video game),2007-01-01,Key (company),Sega Dreamcast,
dbpedia_9959,Inuyasha: A Feudal Fairy Tale,2002-01-01,Dimps,PlayStation,
dbpedia_9961,BreakThru!,1995-01-01,Realtime Associates,Sega Saturn,
dbpedia_9962,X-Men: Reign of Apocalypse,2001-01-01,Digital Eclipse Software,Game Boy Advance,List of X-Men video games
dbpedia_9963,Rhythm Tengoku,2007-01-01,Sega,Arcade Cabinet,
dbpedia_9964,Star Wars Jedi: Fallen Order,2019-01-01,Respawn Entertainment,Google Stadia,
dbpedia_9965,Smashing Drive,2002-01-01,Gaelco,Nintendo GameCube,
dbpedia_9966,Rabbids Go Home,2009-01-01,Ubisoft Montpellier,Wii,Rabbids
dbpedia_9968,Wii Play: Motion,2011-01-01,Prope,Wii,Wii (video game series)
dbpedia_9969,Bomb Chicken,2018-01-01,Nitrome,iOS (iPhone),
dbpedia_9974,Age of Empires III: The Asian Dynasties,2007-01-01,MacSoft,macOS,Age of Empires
dbpedia_9975,Wedding Dash,2009-01-01,ImaginEngine,,
dbpedia_9976,Donkey Kong (video game),1983-01-01,Ikegami Tsushinki,Atari 2600,Donkey Kong
dbpedia_9977,Oddworld: Munch's Oddysee,2001-01-01,Oddworld Inhabitants,Xbox,Oddworld
dbpedia_9978,Painkiller: Hell & Damnation,2013-01-01,The Farm 51,macOS,
dbpedia_9979,Oddworld: Stranger's Wrath,2005-01-01,Android (operating system),iOS (iPhone),Oddworld
dbpedia_9980,Final Fantasy: The 4 Heroes of Light,2009-01-01,Matrix Software,Nintendo DS,Final Fantasy
dbpedia_9982,Total War: Shogun 2,2011-01-01,Creative Assembly,Windows PC,Total War (video game series)
dbpedia_9983,Hatsune Miku: Project DIVA Arcade,2020-01-01,Sega AM2,Arcade Cabinet,Hatsune Miku: Project DIVA
dbpedia_9984,Tales of Symphonia: Dawn of the New World,2013-01-01,Namco Tales Studio,Wii,Tales (video game series)
dbpedia_9985,NBA Playgrounds,2017-01-01,Saber Interactive,Nintendo Switch,
dbpedia_9986,Serious Sam: The Second Encounter,2010-01-01,Croteam,Linux / SteamOS,Serious Sam
dbpedia_9987,Colin McRae Rally 2005,2004-01-01,Codemasters,Windows PC,Colin McRae Rally and Dirt
dbpedia_9988,Marvel vs. Capcom 2: New Age of Heroes,2012-01-01,Capcom,Sega Dreamcast,Marvel vs. Capcom
dbpedia_9990,Scrabble (video game),2001-01-01,Runecraft,,
dbpedia_9991,Metal Slug Anthology,2007-01-01,Terminal Reality,PlayStation 2,Metal Slug (series)
dbpedia_9992,Baldur's Gate: Enhanced Edition,2013-01-01,Beamdog,Nintendo Switch,Baldur's Gate (series)
dbpedia_9993,Law & Order: Dead on the Money,2002-01-01,Legacy Interactive,macOS,
dbpedia_9994,Star Luster,1985-01-01,Namco,Nintendo Entertainment System (NES),
dbpedia_9996,Vampyr (video game),2019-01-01,Dontnod Entertainment,Xbox One,
dbpedia_9997,Syberia (video game),2014-01-01,Microïds,Xbox 360,Syberia
dbpedia_9998,Eliza (video game),2019-01-01,Zachtronics,Windows PC,
dbpedia_9999,Switchblade (video game),2013-01-01,Core Design,Sega Genesis / Mega Drive,
dbpedia_10000,Lode Runner,1983-01-01,Irem,,
dbpedia_10001,"Gadget – Invention, Travel, & Adventure",2011-01-01,Synergy (video game company),,
dbpedia_10002,Another World (video game),2014-01-01,Delphine Software International,,
dbpedia_10003,Robin Hood: The Legend of Sherwood,2012-01-01,Spellbound Entertainment,Windows PC,
dbpedia_10004,Maniac Mansion,1987-01-01,Realtime Associates,,
dbpedia_10005,DuckTales: Remastered,2015-01-01,WayForward Technologies,Wii U,
dbpedia_10006,Might & Magic: Clash of Heroes,2011-01-01,Tag Games,iOS (iPhone),Might and Magic
dbpedia_10007,List of Gatchaman video games,2002-01-01,Mikro-Gen Ltd,,
dbpedia_10008,Mega Man X (video game),1995-01-01,Capcom,,Mega Man X
dbpedia_10010,Magician Lord,1990-01-01,ADK (company),,
dbpedia_10011,G.I. Joe: The Rise of Cobra (video game),2009-01-01,Backbone Entertainment,Xbox 360,
dbpedia_10012,List of Monster Jam video games,2019-01-01,Rainbow Studios,PlayStation Portable (PSP),Monster Jam
dbpedia_10013,Reign of Fire (video game),2002-01-01,Crawfish Interactive,PlayStation 2,
dbpedia_10014,Michael Jackson: The Experience,2011-01-01,Ubisoft Sao Paulo,PlayStation Portable (PSP),
dbpedia_10015,Raid on Bungeling Bay,1985-01-01,Will Wright (game designer),Nintendo Entertainment System (NES),
dbpedia_10016,Terminator 2: Judgment Day (arcade game),1991-01-01,Midway Games,,
dbpedia_10017,Toki Tori,2001-01-01,Two Tribes (company),Nintendo 3DS,
dbpedia_10019,Samorost,2021-01-01,Amanita Design,macOS,
dbpedia_10020,The New Tetris,1999-01-01,Blue Planet Software,Nintendo 64,Tetris
dbpedia_10021,Dragon Knight 4,1996-01-01,Banpresto,,Dragon Knight (hentai)
dbpedia_10022,Spider-Man 2 (2004 video game),2004-01-01,The Fizz Factor,Game Boy Advance,
dbpedia_10023,List of Monster Jam video games,2020-01-01,Team6 Game Studios,Game Boy Advance,Monster Jam
dbpedia_10024,Quest for Glory: So You Want to Be a Hero,,Sierra Entertainment,,Quest for Glory
dbpedia_10025,Blair Witch Volume I: Rustin Parr,2000-01-01,Terminal Reality,Windows PC,Blair Witch
dbpedia_10027,NCAA Football 11,2010-01-01,EA Tiburon,PlayStation 2,
dbpedia_10028,Never 7: The End of Infinity,2000-01-01,KID,Windows PC,Infinity (video game series)
dbpedia_10029,Digital Devil Story: Megami Tensei,1995-01-01,Telenet Japan,,Megami Tensei
dbpedia_10030,Might & Magic: Clash of Heroes,2011-01-01,Capybara Games,Android,Might and Magic
dbpedia_10031,Tron 2.0,2003-01-01,Digital Eclipse,Game Boy Advance,Tron (franchise)
dbpedia_10032,Donkey Kong (video game),1983-01-01,Ikegami Tsushinki,Nintendo Entertainment System (NES),Donkey Kong
dbpedia_10033,Nioh 2,2020-01-01,Team Ninja,PlayStation 5,
dbpedia_10034,Capsized (video game),2011-01-01,Alientrap,Windows PC,
dbpedia_10035,Jagged Alliance,2009-01-01,,,Jagged Alliance (series)
dbpedia_10036,List of Monster Jam video games,2002-01-01,Team6 Game Studios,Wii,Monster Jam
dbpedia_10037,RoboCop Versus The Terminator,1994-01-01,Virgin Interactive,Sega Game Gear,
dbpedia_10038,Prince of Persia: The Two Thrones,2005-01-01,Ubisoft Casablanca,Xbox,Prince of Persia
dbpedia_10039,BloodRayne 2,2020-01-01,Terminal Reality,Windows PC,BloodRayne
dbpedia_10040,Steins;Gate: Linear Bounded Phenogram,2013-01-01,5pb.,PlayStation 4,Science Adventure
dbpedia_10041,Scrabble (video game),2002-01-01,Ubisoft Chengdu,,
dbpedia_10042,Otometeki Koi Kakumei Love Revo!!,2006-01-01,HuneX,Windows PC,
dbpedia_10044,Last Ranker,2010-01-01,Imageepoch,PlayStation Portable (PSP),
dbpedia_10045,Wonder Boy III: The Dragon's Trap,1991-01-01,Westone Bit Entertainment,Sega Master System,Wonder Boy
dbpedia_10046,Angry Birds (video game),2009-01-01,Rovio Entertainment,,Angry Birds
dbpedia_10047,Pitfall II: Lost Caverns,1984-01-01,Sega,Arcade Cabinet,
dbpedia_10048,Kamen Rider: Climax,2012-01-01,Eighting,PlayStation Portable (PSP),Kamen Rider Series
dbpedia_10050,Road Rash 3D,1998-01-01,Electronic Arts,PlayStation,Road Rash
dbpedia_10051,God of War Ragnarök,2022-01-01,Santa Monica Studio,PlayStation 5,God of War (franchise)
dbpedia_10052,Frogger Returns,2009-01-01,,Wii,Frogger
dbpedia_10053,Bejeweled 2,2009-01-01,Oberon Media,Wii,Bejeweled (series)
dbpedia_10055,Dangerous Driving (video game),2019-01-01,Three Fields Entertainment,Xbox One,
dbpedia_10056,The Conduit,2009-01-01,War Drum Studios,Wii,
dbpedia_10057,Insurgency: Sandstorm,2021-01-01,New World Interactive,Windows PC,
dbpedia_10058,Transformers: Revenge of the Fallen (video game),2009-01-01,Savage Entertainment,Windows PC,
dbpedia_10059,Batman Returns (video game),1993-01-01,Konami,Nintendo Entertainment System (NES),
dbpedia_10060,Scrabble (video game),2008-01-01,Runecraft,,
dbpedia_10061,TOCA World Touring Cars,2000-01-01,Codemasters,Game Boy Advance,TOCA (series)
dbpedia_10062,Sonic Runners Adventure,2017-01-01,,iOS (iPhone),Sonic the Hedgehog (series)
dbpedia_10064,Speed Racer: The Videogame,2008-01-01,Sidhe Interactive,,
dbpedia_10065,Ninja Gaiden (NES video game),1988-01-01,Tecmo,,Ninja Gaiden
dbpedia_10066,Tokimeki Memorial Taisen Puzzle-Dama,1996-01-01,Konami,Windows PC,Taisen Puzzle-Dama
dbpedia_10067,Crossy Road,2018-01-01,Hipster Whale,,
dbpedia_10068,Total War: Shogun 2,2014-01-01,Creative Assembly,Windows PC,Total War (video game series)
dbpedia_10069,Diablo (video game),1998-01-01,Blizzard North,,Diablo (series)
dbpedia_10070,Leather Goddesses of Phobos,1988-01-01,Infocom,,
dbpedia_10071,Up (video game),2009-01-01,Asobo Studio,macOS,
dbpedia_10072,Slave Zero,1999-01-01,Accolade (company),Windows PC,
dbpedia_10073,NBA 2K10,2009-01-01,Visual Concepts,PlayStation 2,NBA 2K
dbpedia_10074,Mr. Driller (video game),2009-01-01,Namco,,Mr. Driller
dbpedia_10075,Umihara Kawase,1997-01-01,Success (company),Nintendo Switch,
dbpedia_10076,The Witness (1983 video game),1983-01-01,Infocom,,
dbpedia_10078,The Black Mirror (video game),2003-01-01,Future Games (video game developer),Windows PC,
dbpedia_10080,SpeedRunners,2020-01-01,DoubleDutch Games,Xbox One,
dbpedia_10081,List of Monster Jam video games,2020-01-01,Team6 Game Studios,Nintendo Switch,Monster Jam
dbpedia_10082,Oddworld: Stranger's Wrath,2011-01-01,PlayStation 3,,Oddworld
dbpedia_10083,Rayman Legends,2017-01-01,Ubisoft Montpellier,Nintendo Switch,Rayman
dbpedia_10084,Tiger Woods PGA Tour 11,2010-01-01,EA Tiburon,PlayStation 3,PGA Tour (video game series)
dbpedia_10085,Hearts of Iron,2002-01-01,Paradox Development Studio,Windows PC,
dbpedia_10087,Asterix & Obelix XXL 2: Mission: Las Vegum,2006-01-01,Etranges Libellules,PlayStation Portable (PSP),
dbpedia_10089,Might and Magic Book One: The Secret of the Inner Sanctum,1990-01-01,New World Computing,Nintendo Entertainment System (NES),Might and Magic
dbpedia_10090,Shrek 2 (video game),2004-01-01,Aspyr,macOS,
dbpedia_10091,Thor: God of Thunder,2011-01-01,Liquid Entertainment,PlayStation 3,
dbpedia_10092,Wizardry: Proving Grounds of the Mad Overlord,2003-01-01,Game Studio (company),,Wizardry
dbpedia_10093,Uno (video game),2010-01-01,Nintendo Switch,,Uno (card game)
dbpedia_10094,Neighbours from Hell 2: On Vacation,2004-01-01,JoWooD Entertainment,PlayStation 4,
dbpedia_10095,Hidden & Dangerous,1999-01-01,Tarantula Studios,Windows PC,
dbpedia_10096,Frogger 2: Swampy's Revenge,2000-01-01,Game Titan,Game Boy Color,Frogger
dbpedia_10097,Crash: Mind over Mutant,2008-01-01,Tose (company),Wii,Crash Bandicoot
dbpedia_10099,My Weight Loss Coach,2008-01-01,Ubisoft Montreal,iOS (iPhone),My Coach
dbpedia_10100,Pretty Pet Salon,2011-01-01,Dream Cortex,iOS (iPhone),
dbpedia_10102,Pentagram (video game),,Ultimate Play the Game,,Sabreman
dbpedia_10103,Where in the U.S.A. Is Carmen Sandiego? (1986 video game),,Broderbund,,Carmen Sandiego (video game series)
dbpedia_10104,Lock 'n' Chase,1982-01-01,Data East,,
dbpedia_10105,Angry Birds Seasons,2010-01-01,Rovio Entertainment,,Angry Birds
dbpedia_10106,Warriors Orochi 3,2017-01-01,Omega Force,Xbox 360,Samurai Warriors
dbpedia_10107,Gauntlet Legends,2000-01-01,Midway Games,Arcade Cabinet,Gauntlet (series)
dbpedia_10108,Devil May Cry 3: Dante's Awakening,2006-01-01,Capcom,Nintendo Switch,Devil May Cry
dbpedia_10109,Minecraft: Story Mode,2017-01-01,Telltale Games,macOS,Minecraft (franchise)
dbpedia_10110,Assassin's Creed IV: Black Flag,2013-01-01,Ubisoft Montreal,PlayStation 3,Assassin's Creed
dbpedia_10111,Piglet's Big Game,2003-01-01,,PlayStation 2,Winnie the Pooh (franchise)
dbpedia_10112,SimCity (1989 video game),1991-01-01,Babaroga (game company),,SimCity
dbpedia_10113,Madden NFL 2005,2004-01-01,EA Tiburon,Xbox,Madden NFL
dbpedia_10114,Dark Seed II,1997-01-01,Cyberdreams,macOS,
dbpedia_10115,Street Fighter X Mega Man,2012-01-01,,Windows PC,Street Fighter
dbpedia_10116,Blue Wing Blitz,2001-01-01,Square (video game company),,
dbpedia_10117,Scrabble (video game),2002-01-01,Stainless Games,PlayStation,
dbpedia_10118,Sekiro: Shadows Die Twice,2020-01-01,FromSoftware,Xbox One,
dbpedia_10119,Oniken,2020-01-01,Joymasher,macOS,
dbpedia_10120,Mobile Suit Gundam: Federation vs. Zeon,2002-01-01,Capcom,Sega Dreamcast,Mobile Suit Gundam
dbpedia_10121,Total War: Shogun 2,2017-01-01,Creative Assembly,Linux / SteamOS,Total War (video game series)
dbpedia_10122,List of Monster Jam video games,2021-01-01,Team6 Game Studios,Game Boy Advance,Monster Jam
dbpedia_10123,Death Rally,2011-01-01,Remedy Entertainment,,
dbpedia_10124,The 3rd Birthday,2010-01-01,Square Enix,PlayStation Portable (PSP),
dbpedia_10125,List of Monster Jam video games,2019-01-01,Team6 Game Studios,Google Stadia,Monster Jam
dbpedia_10126,Hard Reset,2011-01-01,Flying Wild Hog,Xbox One,
dbpedia_10127,Scrabble (video game),2009-01-01,Ubisoft Chengdu,iOS (iPhone),
dbpedia_10128,Michael Jackson: The Experience,2015-01-01,PlayStation Portable,iPadOS (iPad),
dbpedia_10129,Fantasy Zone II: The Tears of Opa-Opa,1987-01-01,SunSoft,Sega Master System,Fantasy Zone
dbpedia_10130,Mighty Morphin Power Rangers (video game),1994-01-01,Natsume (company),Super Nintendo (SNES),
dbpedia_10131,The Legend of Zelda LCD games,1989-01-01,Nintendo,,The Legend of Zelda
dbpedia_10132,Galaxian,,Namco,Game Boy,List of Galaxian video games
dbpedia_10133,Medal of Honor: Airborne,2007-01-01,EA Los Angeles,,Medal of Honor (video game series)
dbpedia_10134,Ultra Street Fighter II: The Final Challengers,2017-01-01,Capcom,Nintendo Switch,Street Fighter
dbpedia_10135,The Sims (video game),2000-01-01,Edge of Reality,,The Sims
dbpedia_10136,Escape from Monkey Island,2001-01-01,LucasArts,Windows PC,Monkey Island (series)
dbpedia_10137,NASCAR 07,2006-01-01,Avalanche Software,PlayStation 2,
dbpedia_10138,Langrisser II,2009-01-01,Masaya Games,,Langrisser
dbpedia_10140,FIFA Street 2,2006-01-01,EA Canada,Xbox,FIFA (video game series)
