Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_4811,Weak Moments / Echoes,Icicle,2007-07-16,United Kingdom of Great Britain and Northern Ireland,"['Weak Moments', 'Echoes']",
mbrainz_4812,Hidden Stash III,Kottonmouth Kings,2006-11-21,United States of America,"['Gone Git High', 'Still Smokin', 'Feels So Good', 'Things I Do, Part 2', 'The Underground', ""That's How It Goes"", 'Chronic Weed', 'Legalize or Legal Lies', 'Dust to Dust', 'Police Story', 'One Life', 'Pimpin Lessons', 'Set Me Free', 'Karma', 'Hit That', 'The Bomb', 'Same Ole Story', 'My Selecta', 'Hidden Stash', 'Keep a Lookout', 'Something for Your Stereo', 'Stick Together (remix)', 'Last Daze', 'Lets Ride', 'Remember Me', 'The Lottery (remix)', 'Batter Swing', 'Lady Killer', ""Losin' Streak"", ""Flyin' High"", 'Summertime', ""Power Trippin'"", 'Money', 'Rip N Tear', 'Peace of Mind (Price remix)', 'Wake N Bake']",67.32 minutes
mbrainz_4818,Chrome 01,"Debo, John",2000-01-01,United States of America,"['The Baguio Track (Saeed & Palash Remix)', 'Promises', ""Don't Do It"", 'ShaÃ¯va', 'Choose Life (Trancesetters Remix)', 'Standing', 'Second Contact', 'Philter', 'Falling Together', '1-800-MING', 'Deep Progress (Z2 Remix)']",
mbrainz_4826,Elephant,Pele,2003-06-17,United States of America,"['Gymnastics (Pam)', 'Pickled Pear', 'A Scuttled Bender in a Watery Closet', 'Egg', 'Nighttime Stomach', 'Little Hunts', 'Linear Clocks and Daughters', 'Safe Dolphin', 'Hospital Sports', 'Visit Pumpy']",
mbrainz_4836,A Matter of Life and Death,Iron Maiden,2006-08-29,Canada,"['Different World', 'These Colours Donâ€™t Run', 'Brighter Than a Thousand Suns', 'The Pilgrim', 'The Longest Day', 'Out of the Shadows', 'The Reincarnation of Benjamin Breeg', 'For the Greater Good of God', 'Lord of Light', 'The Legacy']",
mbrainz_4838,Viktor Casanova,Italoboyz,2007-06-13,Germany,"['Viktor Casanova', 'Viktor Casanova (Samim remix)', 'Viktor Casanova (Lee Curtiss remix)']",
mbrainz_4846,Cold Colors,Saturday Looks Good to Me,2007-07-24,United States of America,"['Cold Colors', 'Drink My Blood', 'Illuminated Circle Dream of Backwards Running Vampires', 'Idiots', 'Spiderbite']",
mbrainz_4850,The Analogue Years,"Loop Orchestra, The",1999-01-01,Australia,"['Bride (excerpt)', 'Artery', 'Outsiders & Outcasts', 'Demise', 'Hypnotique', 'Woolloomooloop']",
mbrainz_4854,Wayfaring Stranger: A Spiritual Songbook,"AsbjÃ¸rnsen, Kristin",2006-01-01,Norway,"['Trying to Get Home', ""I'm on My Way"", 'Ride Up in the Chariot', 'Now We Take This Feeble Body', 'In That Morning', 'Come Go With Me', 'Wish I Was in Heaven Sitting Down', 'Going Up', ""Don't Be Weary, Traveler"", 'I Am a Poor Wayfaring Stranger / Going Over Jordan', 'Oh Glory']",
mbrainz_4858,Beyond the Rain,"Freeman, Chico",1978-01-01,United States of America,"['Two Over One', 'Beyond the Rain', 'Excerpts', 'My One and Only Love', ""Pepe's Samba""]",
mbrainz_4867,Black Metal War,Warage,2006-12,,"['Black Metal War', 'Reich', 'Revolution', 'Genocide', 'Purifier par le feu', 'Aropsaid', 'Cenotaphe', 'Eternal Winter', 'Metrocosmopolis', 'Stone of Dark Land']",
mbrainz_4877,Butterfly,S3RL,2007-01-01,,Butterfly,
mbrainz_4881,Einstein Experience,Plastic Idols,1980-01-01,United States of America,"['Einstein Experience', 'Uncircumcised Twin', 'Siamese Lust']",
mbrainz_4892,Human on the Outside (orig.),"Davey, Alan",2007-01-01,United Kingdom of Great Britain and Northern Ireland,"['Atmosphere', 'Years Ago Miles Away', 'Eyes Closed', 'Drum Head', 'Marine Snow', 'Nothing Is Weird', 'World of Fear', 'Ethnic Mosaic, Part 1', 'Ethnic Mosaic, Part 2', 'The Unseen', 'Delusions of Ganja', 'Dog Star', 'Glass Wolves']",
mbrainz_4894,All by Myself / Troubles of My Own,"Domino, Fats (and others)",1955-01-01,United States of America,"['All by Myself', 'Toubles of My Own']",
mbrainz_4901,It's Rainy Outside,Roborobika,,,"[""It's Rainy"", 'Pulsarium', 'Positivation', 'IDMan', 'Woodorchestra']",
mbrainz_4904,Spirits of Sand,KS Project,2006-06-10,Denmark,"['Spirits of Sand (original extended mix) (With intro)', 'Spirits of Sand (CS-Jay remix)']",
mbrainz_4912,Nightmare: The 2nd Demo (release),Terminal Choice,2000-01-01,Germany,"['Cemetary of the Damned', 'End of Human Race', 'Flesh in Chains', 'German Boy', 'In This Lovely Night', 'Nightmare']",
mbrainz_4914,Ascension (orig.),Eskmo,2003-11-12,United States of America,"['Crystal Entrance', 'Mists of Ether', 'Viral 08', 'Peace', 'Forest Rhythm', 'New Pipes', 'Phobos', 'Slitherback', 'Wasp Nest', 'Lord of Life (remix)', 'Deep Waters']",
mbrainz_4919,Fragments of a Rainy Season,"Cale, John",1992-01-01,France,"[""A Child's Christmas in Wales"", 'Dying on the Vine', 'Cordoba', 'Darling I Need You', 'Paris 1919', 'Guts', ""Fear (Is a Man's Best Friend)"", 'Ship of Fools', 'Leaving It Up to You', 'The Ballad of Cable Hogue', 'Thoughtless Kind', 'On a Wedding Anniversary', 'Lie Still, Sleep Becalmed', 'Do Not Go Gentle Into That Good Night', 'Buffalo Ballet', 'Chinese Envoy', 'Style It Takes', 'Heartbreak Hotel', '(I Keep A) Close Watch', 'Hallelujah']",
mbrainz_4921,Early in the Morning,"Palmer, Robert",1988-01-01,United States of America,"['Early in the Morning (extended version)', 'Early in the Morning (single version)', 'Early in the Morning (instrumental)', 'Disturbing Behavior']",
mbrainz_4940,Sheâ€™s Got Issues,"Offspring, The",1999-11-15,United Kingdom of Great Britain and Northern Ireland,"['Sheâ€™s Got Issues', 'The Kids Arenâ€™t Alright (Wiseguys mix)', 'The Kids Arenâ€™t Alright (Wiseguys instrumental)']",
mbrainz_4952,Lord of Nightmare,Endless Dismal Moan,2006-04,,"['Thirst for Pleasure', 'ISLNWD', 'Griefs', 'Thirst', 'Lord of Nightmare', 'Endless Dismal Moan (9 to Death)']",
mbrainz_4957,The Simple Things,"Cocker, Joe",1994-08,,"['The Simple Things', 'My Strongest Weakness', 'When The Night Comes (Live)', 'Unchain My Heart (Live)']",
mbrainz_4965,Bedtime Stories,Judge Dread,1975-01-01,United Kingdom of Great Britain and Northern Ireland,"['Bedtime Stories', ""J'Taime"", 'What a Beautiful Pair', 'Rudeness Train', 'The Six Wives of Dread', 'This Little Piece of Dinkle', 'Last Tango in Snodland', 'Big 10', 'Trenchtown Billy', 'Move Over Darling']",
mbrainz_4966,Beyond the Sound Barrier,"Shorter, Wayne Quartet",2005-01-01,Japan,"[""Smilin' Through"", 'As Far as the Eye Can See', 'On Wings of Song', 'Tinker Bell', 'Joy Ryder', 'Over Shadow Hill Way', 'Adventures Aboard the Golden Mean', 'Beyond the Sound Barrier', 'Zero Gravity']",
mbrainz_4977,Surrender,"Veil, The",1985-01-01,United Kingdom of Great Britain and Northern Ireland,"['Twist', 'Hoax', 'The Rain', 'Love in a Dying World', 'Sway', 'Pale Hose', 'Closet Floor', 'Thy Will', 'Manikin', 'Surrender']",
mbrainz_4979,Speaking Spooky,Orphan Fairytale,2007-01-01,United States of America,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_4985,From This Day On / Let Our Love Begin,"Bo, Eddie",1966-01-01,United States of America,"['From This Day On', 'Let Our Love Begin']",
mbrainz_4986,When I'm With You,Jinnel,,,"[""When I'm With You (Anthony Acid and DJ Skribble dance radio edit)"", ""When I'm With You (Malicious Mikes Break Beat radio edit)"", ""When I'm With You (NCP original radio edit)"", ""When I'm With You (NCP extended mix)"", ""When I'm With You (Malicious Mikes Break Beat dub mix)"", ""When I'm With You (Anthony Acid and DJ Skribble club mix)"", ""When I'm With You (LD30 trance Anthem remix)""]",
mbrainz_4999,Casanova,RondÃ² Veneziano,1985-10-15,Italy,"['Casanova', 'Donna Lucrezia', 'Nuovi orizzonti', 'Nostalgia di Venezia', 'Rosaura', 'Giardino incantato', 'Sogno veneziano', 'Bettina', ""Preludio all'amore"", ""L'orientale"", 'Interludio', 'Cecilia']",
mbrainz_5000,Can Our Loveâ€¦,Tindersticks,2001-05-22,France,"['Dying Slowly', 'People Keep Cominâ€™ Around', 'Tricklinâ€™', 'Can Our Loveâ€¦', 'Sweet Release', 'Donâ€™t Ever Get Tired', 'No Man in the World', 'Chilitetime']",
mbrainz_5001,The Searl Brothers,70 Gwen Party,1993-01-01,United Kingdom of Great Britain and Northern Ireland,"['The Searl Brothers', 'Robot Assassin']",
mbrainz_5002,Better Get Ready,Lulu,1999-12-27,United Kingdom of Great Britain and Northern Ireland,"['Better Get Ready', 'Better Get Ready (Almighty Definitive mix edit)', 'Hurt Me So Bad (Almight mix)']",
mbrainz_5009,Constellation_Gemini,Decence,2005-01-01,Germany,"['There Must Be More', 'Ideologies', 'Last Man Standing', 'Nothing More (Epic)', ""Doesn't Matterâ€¦"", 'My Angel', 'The Clockwork', 'Nothing More', 'The Quiet of the Night', 'Waving Goodbye', 'Oh Lord', 'Holy?', 'There Must Be More (New_Constellation mix by Decence)', 'There Must Be More (Cold Fusion mix by Matt976)']",
mbrainz_5019,Breakaway,"Day, Inaya",2007-01-01,Australia,"['Breakaway (Chris Fraser radio edit)', 'Breakaway (Taylor Square radio edit)', 'Breakaway (Chris Fraser main mix)', 'Breakaway (Taylor Square remix)', 'Breakaway (Bill Bennettâ€™s Morning club mix)', 'Breakaway (Bill Bennettâ€™s Anthem club mix)']",
mbrainz_5022,King Kong: Jean-Luc Ponty Plays the Music of Frank Zappa,"Ponty, Jean-Luc",1969-01-01,United States of America,"['King Kong', 'Idiot Bastard Son', 'Twenty Small Cigars', 'How Would You Like to Have a Head Like That', 'Music for Electric Violin and Low Budget Orchestra', 'America Drinks and Goes Home']",
mbrainz_5030,The Execution of All Things,Rilo Kiley,2002-10-01,United States of America,"[""The Good That Won't Come Out"", ""Paint's Peeling"", 'The Execution of All Things', 'So Long', 'Capturing Moods', 'A Better Son/Daughter', 'Hail to Whatever You Found in the Sunlight That Surrounds You', 'My Slumbering Heart', 'Three Hopeful Thoughts', 'With Arms Outstretched', 'Spectacular Views']",
mbrainz_5033,Beyond an Infinite,"Beauty Room, The",2006-09-04,United Kingdom of Great Britain and Northern Ireland,"['Soul Horizon', 'Burn My Bridges', 'Holding On', 'Visions of Joy', 'Weight of the World', ""Don't You Know"", 'Fortress', 'Shades of Yesterday', 'The Moment', 'Those Days']",
mbrainz_5037,World Music,"Mahal, Taj",,,"['When I Feel the Sea Beneath My Soul', 'My Ancestors', 'Slave Driver', 'West Indian Revelation', 'Kalimba', 'Desperate Lover', ""Clara 'St. Kitts Woman'"", 'Cajun Waltz', 'Roll, Turn, Spin', 'Johnny Too Bad', 'Brown Eyed Handsome Man', 'Blackjack Davey', 'Music Keeps Me Together', 'When I Feel the Sea Beneath My Soul (reprise)']",
mbrainz_5038,Swing Classics: In the Mood of Glenn Miller,Taco,1985-01-01,Germany,"['Chattanooga Choo Choo', 'That Old Black Magic', 'Frenesi', 'Moonlight Serenade', 'Pennsylvania 6-5000', 'Tuxedo Junction', ""Stompin' at the Savoy"", 'In the Mood', 'Perfidia', 'Stardust', 'Poinciana', 'Serenade in Blue']",
mbrainz_5040,Funeral for Yesterday,Kittie,2007-02-20,United States of America,"['Funeral for Yesterday', 'Breathe', 'Everything That Could Have Been', 'Slow Motion', 'Will to Live', 'Never Again', 'Sweet Destruction Interlude', 'Summer Dies', 'Flower of Flesh and Blood', 'Around Your Heart', 'This Too Shall Pass', 'Last Goodbye', 'Witch Hunt', 'The Change', 'Funeral for Yesterday', 'Making of the New Record']",0.0 minutes
mbrainz_5043,Primitive Epic,Bobaflex,,,"['Bobaflex Warriors', 'Midnight Nation', 'What Was It Like?', 'Medicine', 'Tears Drip', 'The Predicament', 'Space Case', 'Turn the Heat Up', 'Rise Again', 'Doom Walker']",
mbrainz_5050,The Psychedelic World of the 13th Floor Elevators,13th Floor Elevators,2002-01-01,United States of America,"[""You're Gonna Miss Me"", 'Roller Coaster', 'Splash I', 'Reverberation (Doubt)', ""Don't Fall Down"", 'Fire Engine', ""Thru' the Rhythm"", ""You Don't Know"", 'Kingdom of Heaven', 'Monkey Island', 'Tried to Hide', 'Everybody Needs Somebody to Love', 'Before You Accuse Me', ""You Don't Know"", ""I'm Gonna Love You Too"", 'You Really Got Me', 'Splash I', 'Fire Engine', 'Roll Over Beethoven', 'The Word', 'Monkey Island', 'Roller Coaster', 'Slip Inside This House', 'Slide Machine', 'She Lives (In a Time of Her Own)', 'Nobody to Love', 'Baby Blue', 'Earthquake', 'Dust', 'Levitation', 'I Had to Tell You', 'Pictures (Leave Your Body Behind)', 'Splash I', 'Kingdom of Heaven', ""You're Gonna Miss Me"", 'She Lives (In a Time of Her Own)', 'Reverberation (Doubt)', ""You're Gonna Miss Me"", 'We Sell Soul', 'Fire in My Bones', 'Levitation (instrumental)', 'Slip Inside This House (single edited version)', 'Before You Accuse Me', 'She Lives in a Time of Her Own', 'Tried to Hide', 'You Gotta Take That Girl', ""I'm Gonna Love You Too"", 'Everybody Needs Somebody to Love', ""I've Got Levitation"", ""You Can't Hurt Me Anymore"", 'Roller Coaster', ""You're Gonna Miss Me"", ""Livin' On"", 'Barnyard Blues', 'Till Then', 'Never Another', 'Rose and the Thorn', 'Down by the River', 'Scarlet and Gold', 'Street Song', 'Doctor Doom', 'With You', 'May the Circle Remain Unbroken', 'Wait for My Love', 'Splash I', 'Right Track Now', ""60 Second Radio Spot for 'Bull of the Woods' Album""]","['4638', '4689']"
mbrainz_5052,Backwash,Regurgitation,2005-01-01,United States of America,"['Pesticide', 'Laryngitis (New version)', 'Implosion', 'Aggravated Assault', 'Pissant', 'Dead by Dawn', 'Bathrooms Rule', 'Return of the Deadly Spawn', 'Bathrooms Rule', 'Instrumental', 'Decapitated (Sacrifice)', 'Possession (Sacrifice)', 'Laryngitis', 'Laryngitis', 'S.S', 'Pesticide', 'Pesticide', 'Laryngitis', 'Spermicide', 'Scrotum Juggler', 'Beermacht']",
mbrainz_5053,Inside Outside,Jash,2007-08,Germany,"['Delving Out to Get In', 'Inside Is So Nice', 'There We Go Out', 'Can in Out Again', 'The Wind Is Light']",
mbrainz_5054,Lithium Enchantment,Lithium Enchantment,2007-08-21,United States of America,"['Erised Wen', 'Grey Blocks (Revamp)', 'Troposail', 'Damp Riverside', ""Waen Het D'Har"", 'Erebus', 'Capture', 'Landing Pad', 'Fadeaway', 'Worm Hole', 'Marks With Hands', 'Emerge V.2.', 'Neon Slide V.1.', 'Reentry', 'Floatrocks Plateau']",
mbrainz_5056,Dangerous Curves,"Ford, Lita",1991-01-01,United States of America,"['Larger Than Life', 'What Do Ya Know About Love', 'Shot of Poison', 'Bad Love', 'Playinâ€™ With Fire', 'Hellbound Train', 'Black Widow', 'Little Too Early', 'Holy Man', 'Tambourine Dream', 'Little Black Spider']",
mbrainz_5061,The Story So Far,Mo-Dettes,2008-12-09,United Kingdom of Great Britain and Northern Ireland,"['Fandango', 'Satisfy', 'Dark Park Creeping', 'The Kray Twins', 'Paint It Black', 'White Mouse Disco', 'Bedtime Stories', 'Masochistic Opposite', 'Foolish Girl', ""Norman (He's No Rebel)"", 'Sparrow', ""Mi'lord"", 'Bitta Truth', 'Two Can Play', 'Tonight', 'Waltz in Blue Minor', 'White Mice']",
mbrainz_5067,Musicology,Musicology,1991-05,United Kingdom of Great Britain and Northern Ireland,"['Fear of Expression', 'Telefone 529', 'Metropolis', 'Obsessed']",
mbrainz_5072,Flight of the Albatross,Fairmont,2007-10-08,United Kingdom of Great Britain and Northern Ireland,"['Flight of the Albatross (12"" edit)', ""Flight of the Albatross (Reef Carribean's for the Love of an Albatross remix)"", 'Flight of the Albatross (Metope remix)', 'Flight of the Albatross (Christ remix)', 'Flight of the Albatross (Dongs Tool)']",
mbrainz_5089,Revealing,"Ulmer, James Blood",1990-01-01,Germany,"['Revealing', 'Raw Groove', 'Overtime', 'Love Nest']",
mbrainz_5091,Dead Soul Brothers,Dead Soul Brothers,2007-01-01,United Kingdom of Great Britain and Northern Ireland,"['Yeah Yeah Yeah', 'Come on Now', 'Come on Now (Phones remix)', 'Wires', '1969', 'Love Is With Me', 'Blessed', 'Overtime']",0.0 minutes
mbrainz_5095,Loves Are Like Empires,Glissando,2007-01-01,United Kingdom of Great Britain and Northern Ireland,"['... And Before We Knew It Had Happened at All, It Was Over', 'What the Exultant Heart Calls Good', 'Into Sleep to Create a Flame', 'A Fleeting Glimpse', 'A Whisper of the Eye']",
mbrainz_5097,Beyond the Wall of Sound,Metallica,1994-01-01,Italy,"['Master of Puppets', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Ride the Lightning', '[bass solo]', 'Whiplash', 'The Thing That Should Not Be', 'Peanuts (jam) / Run to the Hills (jam) / My Sharona (jam) / The Four Horsemen', 'Am I Evil?', 'Damage, Inc.', 'Blitzkrieg']",
mbrainz_5107,This Was Supposed to Be the Future,"Nextmen, The",2007-06-11,United Kingdom of Great Britain and Northern Ireland,"['Let It Roll', 'Blood Fire', 'Did No Wrong', 'Tuffen Up', 'Knowledge Be Born', 'Something Got You', 'Concentrate', 'The Drop', 'Let It Be', 'Move', 'Piece of the Pie', 'Camera Tricks', 'Memory Lane', 'This Was Supposed to Be the Future']",
mbrainz_5108,A Journey Through the Roman's Empire,Athletic Automaton,2007-01-01,United States of America,"['The Small Ball Game', ""Roman's Empire A. D."", 'The Gladiators Sandal Fight', ""Ceasar's Haircut"", 'Achilles Last Tendon', 'A Circus Maximus', 'Hands Without Feet', 'The Smaller Ball Game']",
mbrainz_5110,Classics Volume 4: Mo Ti Mo And Destiny,"Ade, King Sunny",2001-01-01,Nigeria,"['Mo Ti Mo', 'Apala Synchro', ""Ota Nlu'lu Ibaje"", 'Ma Wo Be', ""B'Omode Ba Ma Wi"", 'E Ti Won A Ya', 'Ki Leni Ase', 'Mo Ri Sisi Meji', 'Iduro Soro', 'Bo Bafe Sebi Ranti', 'Kowo Kowo', 'Didun Lo Ndum', 'Destiny', 'Mo Gbadura', 'Babi Gbemi Leke-Won', 'Ojowu', 'Ma Womi O']",
mbrainz_5111,heartbreaker,Isis Signum feat.,2007-01-01,Mexico,"['heartbreaker (extended version)', 'symmetry (Neztic radio mix)', 'unrestricted (exclusive b-side)', 'energy (Fermin Aguilera remix)', 'heartbreaker (Implant remix)', 'symmetry (Vicious Pink Goo remix)', 'heartbreaker (Lia Organa & Electric Prince remix)', 'heartbreaker (According To Phillip remix)', 'heartbreaker (Pelton remix)']",
mbrainz_5115,Random Spirit Lover,Sunset Rubdown,2007-10-09,United States of America,"['The Mending of the Gown', 'Magic vs. Midas', 'Up on Your Leopard, Upon the End of Your Feral Days', 'The Courtesan Has Sung', 'Winged/Wicked Things', 'Colt Stands Up, Grows Horns', 'Stallion', 'For the Pier (and Dead Shimmering)', 'The Taming of the Hands That Came Back to Life', 'Setting vs. Rising', 'Trumpet, Trumpet, Toot! Toot!', 'Child-Heart Losers']",
mbrainz_5123,Chronicles: Death Row Classics,"Dre, Dr.",2006-07-03,United Kingdom of Great Britain and Northern Ireland,"['One Eight Seven', ""Dre Day (and Everybody's Celebratin')"", 'Nuthinâ€™ but a â€œGâ€? Thang', 'Gin & Juice', 'Doggy Dogg World', 'California Love (remix)', 'Murder Was the Case', 'Afro Puffs', 'Let Me Ride', ""Ain't No Fun (If the Homies Can't Have None)"", 'Natural Born Killaz', 'Bitches Ainâ€™t Shit', 'Puffin on Blunts and Drankin Tanqueray']",
mbrainz_5127,Above and Beyond,"Winter, Edgar",1979-01-01,United States of America,"['Above and Beyond', 'Above and Beyond (instrumental)']",
mbrainz_5149,Broken Words and Lost Answers,Lunt,2003-01-01,France,"['Double Strapontine', 'I Left the Light to Fade Behind My Windows', 'Blurred Feelings', 'A Shifting Door and My Heart to Borrow', 'Simple Glitches', 'Paradox of Floating Arrow']",
mbrainz_5151,Secret Secret Secret Singles,Boy/Girl,2007-07-21,United States of America,"['Alcohol and Certain Medications', 'The Shakes', 'Stare to the Sun', 'Kyll Kyll Kyll', 'Rorshack']",
mbrainz_5162,The Walls Came Down: The Best of the Mercury Years,"Call, The (and others)",1991-06-11,United States of America,"['War Weary World', ""There's a Heart Here"", 'Doubt', 'Upperbirth', 'Flesh and Steel', 'Waiting for the End', 'The Walls Came Down', 'Turn a Blind Eye', 'Modern Romans', 'Back From the Front', 'Destination', 'Violent Times', 'All About You', 'Scene Beyond Dreams', 'Tremble', 'Delivered', 'Heavy Hand', 'One Life Leads to Another']",
mbrainz_5167,The Best of The Brothers Johnson,"Brothers Johnson, The",1998-01-01,,"[""I'll Be Good to You"", 'Free And Single', 'Land of Ladies', 'Get the Funk Out Ma Face', 'Tomorrow', ""Runnin' for Your Lovin'"", 'Strawberry Letter 23', 'Right on Time', 'Q', 'Blam!', ""Ain't We Funkin' Now"", 'Light Up the Night', 'Stomp', 'Treasure', 'The Real Thing', ""You Keep Me Comin' Back"", ""I'm Giving You All of My Love"", 'Kick It to the Curb']",
mbrainz_5168,Scattered Fragments of the Eternal Dream,Kalpataru Tree,2007-01-01,United States of America,"['Moonbloom', 'Strange Rotation', 'Spirit Calling', 'Autumn Dreaming', 'Dark Clouds', 'Spiral Snakeskin', 'Mysternium', 'Like a Child']",
mbrainz_5175,Lost Marbles,"Curran, Alvin",2004-01-01,United States of America,"['Toto Angelica', 'Music Is Not Music', 'Maritime Rites-Wasserkorso', 'For MG', 'In Hora Mortis', 'Endangered Species', 'Pittura Fresca', 'Inner Cities 2', 'Erat Verbum John', 'Romulus and Remus Make a Ruckus', 'Return to Sender']",
mbrainz_5184,Festival Resurrection,Festival,1998-01-01,Germany,"['Festival Resurrection (intro)', 'That Was Then but This Is Now', 'Mothership Chicago', 'Double Y Chromosome', 'Double Y Chromosome (Abstract)', 'Dig My Mood', 'Days + Nights', 'Fade to Loop', 'Fu-L (Festival mix)', 'Festival Resurrection (outro)']",
mbrainz_5187,The Mezzanine,"Durrett, Liz",2006-01-24,United States of America,"['Knives at the Wall', 'All the Spokes', 'Cup on the Counter', 'The Mezzanine', 'CreepyAsKudzu', 'Marlene', 'Silent Partner', 'Shivering Assembly', 'Little Ascendant', 'No Apology', 'In the Throes']",
mbrainz_5188,Fallen Leaves,Teenage Fanclub,2005-05-23,United Kingdom of Great Britain and Northern Ireland,"['Fallen Leaves', 'Falling Leaf']",
mbrainz_5189,Flux Echoes,"Pollard, Brendan",2007-10-13,United Kingdom of Great Britain and Northern Ireland,"['Flux Echoes', 'Radiant Transmission', 'Phosphor Skyline', 'Torque']",
mbrainz_5196,Hidden Faces,Clan of Xymox,1997-01-01,United States of America,"['Out of the Rain', 'This World', ""Going Round '97"", 'The Child in Me', 'Wailing Wall', ""It's All a Lie"", 'Sing a Song', 'Troubled Soul', 'Special Friends', 'Piano Piece', 'Your Vice', 'November', 'The Story Ends']",
mbrainz_5198,Coming Up X's,Mixel Pixel,2006-09-26,United States of America,"[""Coming Up X's (Streetlab mix)"", ""X's Is the Reason (Books on Tape)"", ""Coming Up X's (Poingly mix)"", ""Coming Up X's (album)"", ""Coming Up X's (Alan Astor mix)""]",
mbrainz_5205,Blood Brothers,Rose Tattoo,2007-02-16,Germany,"['Black-Eyed Bruiser', 'Slipping Away', 'Once in a Lifetime', '1854', 'City Blues', 'Sweet Meat', 'Man About Town', 'Creeper', 'Standover Man', 'Nothing to Lose', 'Lubricated']",
mbrainz_5210,Butterfly,Tapping the Vein,1997-01-01,United States of America,"['Butterfly', 'Inside', 'Broken', 'Falling In', 'Numb']",
mbrainz_5214,Unterwegs mit Mother Earth,"TÃ¼ren, Die",2005-05-23,Germany,"['Drinnen ist wie drauÃŸen', 'Menschen in dieser Stadt', 'Bockfenster auf Kipp', 'SuperschÃ¶n', 'Nogo', 'Trauma Traumpaar', 'Das ganze Jahr April', 'Conny Bonn', 'Koffeinhaltige Limonade', '3x gewarnt', 'Danke Punk', 'Heydudu Hallo', 'Willkommen aus der Zukunft', 'Unterwegs mit Mother Earth']",
mbrainz_5219,Translated Visions Exp: 002,Mindustries,2005-05-01,Netherlands,"['Massdriver', 'Deus Ex Machina (Producer Adrenaline Injection)', 'Translated Visions', 'Instru_Mental Disorder']",
mbrainz_5224,Spirit of Yma,Vermonster,1990-01-01,United States of America,"['Grease of the Yak', 'Rainy, Starless Night', 'The Lions', 'Black Liquid Slowly Mummifies']",
mbrainz_5227,Embrace the Fool,Poets to Their Beloved,2007-09-28,Portugal,"['Embrace the Fool', 'Love', 'Ecstatic Dance', 'My Moments of Tranquility', 'The Disillusioned Nihilist', 'Ode on Melancholy', 'The Golden Cage of Fateful Emotions', 'Traveller of Stars', 'Your Eyes So Strange to Me', 'Innate', 'I Drowned in You', 'In Your Dreams', 'Soul Friend']",
mbrainz_5229,Hyperythmique Analogue,Socos,2007-08-31,Greece,"['Hyperythmique Analogue, Part 2', 'Cataleptique', 'Vis-a-vis', 'Hyperythmique Analogue, Part 1', 'Louise Michel']",
mbrainz_5233,Beyond Foundations,"Kennedy, Inigo",2007-10,United Kingdom of Great Britain and Northern Ireland,"['In Penumbra', 'Terminal Three', 'A Rune for Amelie', 'Curious Tentacles (Part Two)', 'My Skin Is Electric']",
mbrainz_5239,Trouble in Paradise,Elemeno P,2005-01-01,New Zealand,"['You Are', 'Pardon Me', 'Ohio', 'Burn', 'One Left Standing', '11:57', ""Is This What We've Been Waiting For?"", 'Death and the Maiden', 'The Day I Went Under', ""Life's Not Fair"", 'Stay/Go']",
mbrainz_5244,Let's Do Rock Steady,"Bodysnatchers, The",1980-01-01,Germany,"[""Let's Do Rock Steady"", 'Ruder Than You']",
mbrainz_5247,Early Burial (album),Evenings,2007-09-15,United States of America,"['[untitled]', '[untitled]']",
mbrainz_5250,Surrender,Suicide,1988-01-01,France,"['Surrender', 'Rain of Ruin']",
mbrainz_5251,Ghost Stories,"Dream Syndicate, The",2004-01-01,United Kingdom of Great Britain and Northern Ireland,"['The Side Iâ€™ll Never Show', 'My Old Haunts', 'Loving the Sinner, Hating the Sin', 'Whatever You Please', 'Weathered and Torn', 'See That My Grave Is Kept Clean', 'I Have Faith', 'Someplace Better Than This', 'Black', 'When the Curtain Falls', 'When the Curtain Falls', 'If You Should Ever Need a Fool', 'Never Ending Rain', 'Whatever You Please', 'Darlinâ€™ They Know', 'Carolyn', 'I Ainâ€™t Living Long Like This', 'Spill the Wine']",
mbrainz_5256,Fallen From Grace,Insane Poetry,2007-09-25,United States of America,"['FFG (intro)', 'Kill You', 'Boyz in a Box', 'Next Dimension', 'Heartless', 'Suspect Zero', 'Revenge (feat. Lowdown)', ""Peekin' Thru Ya Back (feat. Tre Dizzle)"", 'Murderland', 'Fallen From Grace', 'Jot My Life (feat. Menacide)', ""Let's Ride (feat. Spark, Lowdown, JP tha Hustler & Freaks)"", 'Heat', 'Black Widow', 'Game of Life', 'Can You Feel Me', 'Is It Good (feat. Lowdown)', 'FFG (outro)', 'Commercial']",
mbrainz_5258,Weapons of Mass Protection (orig.),International Karate,2003-01-01,Australia,"['A Minor Role in a Major Movie', 'The Details of Your History', 'I Will Hurt You', 'Everyones a Fucking Star', 'Beach House', 'Film', 'There Is No-One', 'We Were Like Animals']",
mbrainz_5259,A Monster in Soul,International Karate,2004-09,Australia,"['Lazy for You', 'Tonight I Can See Around Corners', 'A Monster in Soul', 'Walk Without Touching the Ground', 'Pale White', 'Dawns and Departures', 'Aries', 'Our Heads Are in the Stars but Our Behinds Weigh Us Down Like Anchors']",
