wiki_ref,title,launch_yr,studio,system,franchise
dbpedia_8746,Dynasty Warriors 3,2013-01-01,Omega Force,PlayStation Network,Dynasty Warriors
dbpedia_8747,Democracy (video game),2016-01-01,Positech Games,Microsoft Windows,
dbpedia_8748,List of Saiyuki video games,2002-01-01,Enix,Playstation,
dbpedia_8749,Michael Jackson: The Experience,2015-01-01,IOS,Wii,
dbpedia_8750,Caladrius (video game),2014-01-01,MOSS (company),Arcade game,
dbpedia_8751,Oddworld: Stranger's Wrath,2020-01-01,Just Add Water (company),IOS,Oddworld
dbpedia_8752,Toki (video game),1989-01-01,Atari Corporation,IOS,
dbpedia_8753,Tomb Raider: Anniversary,2007-01-01,Crystal Dynamics,PS3,Tomb Raider
dbpedia_8754,Mad Max (2015 video game),2015-01-01,Avalanche Studios,Xbox One,Mad Max
dbpedia_8756,Virtua Tennis 3,,IBM PC compatible,PlayStation Portable,Virtua Tennis (series)
dbpedia_8757,Madden NFL 99,1998-01-01,EA Tiburon,Nintendo 64,Madden NFL
dbpedia_8758,SimCity (1989 video game),1991-01-01,Superior Software,FM Towns,SimCity
dbpedia_8759,Disney Sports Soccer,2002-01-01,Konami,Game Boy Advance,
dbpedia_8760,List of Fire Pro Wrestling games,2001-01-01,Spike Chunsoft,Mobage,Fire Pro Wrestling
dbpedia_8761,Oddworld: Stranger's Wrath,2020-01-01,Oddworld Inhabitants,MacOS,Oddworld
dbpedia_8762,Freddi Fish 2: The Case of the Haunted Schoolhouse,2014-01-01,Humongous Entertainment,Linux,
dbpedia_8763,NBA Live 98,1997-01-01,Realtime Associates,Super Nintendo,NBA Live
dbpedia_8764,The Pinball Arcade,2012-01-01,FarSight Studios,Switch,
dbpedia_8765,Disney Infinity (video game),2016-01-01,Avalanche Software,Microsoft Windows,Disney Infinity
dbpedia_8766,Final Fantasy V,2015-01-01,Square (video game company),Microsoft Windows,Final Fantasy
dbpedia_8767,Genshin Impact,2020-01-01,MiHoYo,PlayStation 5,
dbpedia_8768,Oddworld: Stranger's Wrath,2005-01-01,Ouya,PlayStation Vita,Oddworld
dbpedia_8769,APB: All Points Bulletin,2010-01-01,Realtime Worlds,Xbox One,
dbpedia_8770,Chaos;Head,2008-01-01,Nitroplus,Microsoft Windows,Science Adventure
dbpedia_8771,Skylanders: Spyro's Adventure,2011-01-01,Vicarious Visions,Xbox 360,Skylanders
dbpedia_8772,Lara Croft Go,2015-01-01,Square Enix Montreal,MacOS,Tomb Raider
dbpedia_8773,Far Cry 6,2021-01-01,Ubisoft Toronto,Xbox Series X/S,Far Cry
dbpedia_8774,Dream Chronicles: The Chosen Child,2010-01-01,,Microsoft Windows,Dream Chronicles (series)
dbpedia_8775,Final Fantasy IV,1991-01-01,Square (video game company),Microsoft Windows,Final Fantasy
dbpedia_8776,Strong Bad's Cool Game for Attractive People,2008-01-01,Telltale Games,Microsoft Windows,Homestar Runner
dbpedia_8777,Dynasty Warriors: Gundam,2007-01-01,Omega Force,PS2,Dynasty Warriors
dbpedia_8778,Bejeweled 2,2005-01-01,Oberon Media,Xbox Live Arcade,Bejeweled (series)
dbpedia_8779,Doom (1993 video game),1993-01-01,Id Software,Android (operating system),Doom (franchise)
dbpedia_8780,Marvel: Ultimate Alliance,2006-01-01,Raven Software,Wii,
dbpedia_8781,Tom Clancy's Rainbow Six 3: Raven Shield,2003-01-01,Red Storm Entertainment,Xbox,Tom Clancy's Rainbow Six
dbpedia_8782,Might and Magic III: Isles of Terra,,New World Computing,MS-DOS,Might and Magic
dbpedia_8783,List of Fire Pro Wrestling games,2001-01-01,Spike Chunsoft,PS2,Fire Pro Wrestling
dbpedia_8785,Uno (video game),2009-01-01,Nintendo Switch,Symbian^3,Uno (card game)
dbpedia_8786,Cho Aniki,2003-01-01,X-Nauts,TurboGrafx-16,
dbpedia_8787,Angry Birds Trilogy,2012-01-01,Fun Labs,Xbox 360,Angry Birds
dbpedia_8788,Comix Zone,1995-01-01,Sega Technical Institute,Windows,
dbpedia_8790,Gauntlet (1985 video game),1985-01-01,Atari Games,Atari ST,
dbpedia_8791,Prinny: Can I Really Be the Hero?,2020-01-01,Nippon Ichi Software,Switch,Disgaea
dbpedia_8792,Princess Maker 2,2016-01-01,Gainax,Microsoft Windows,Princess Maker
dbpedia_8794,World of Tanks,2010-01-01,Wargaming (company),Switch,
dbpedia_8795,Daisenryaku,2006-01-01,SystemSoft,Dreamcast,
dbpedia_8796,Peggle,2009-01-01,PopCap Games,Zeebo,Peggle (series)
dbpedia_8797,Harry Potter and the Philosopher's Stone (video game),2003-01-01,Xbox (console),Game Boy Color,Harry Potter video games
dbpedia_8798,"Spy Fox in ""Dry Cereal""",2014-01-01,Humongous Entertainment,Wii,
dbpedia_8799,Ninja Senki,2010-01-01,Tribute Games,Windows,
dbpedia_8800,Dying Light,2021-01-01,Techland,Switch,
dbpedia_8801,Ticket to Ride (video game),2012-01-01,Next Level Games,Microsoft Windows,
dbpedia_8803,Battlefield V,2018-01-01,DICE (company),Xbox One,Battlefield (video game series)
dbpedia_8804,Daisenryaku,1991-01-01,SystemSoft Alpha,Mega Drive,
dbpedia_8805,Riven,1997-01-01,Cyan Worlds,Microsoft Windows,Myst (series)
dbpedia_8806,Dragon Slayer: The Legend of Heroes,1989-01-01,Nihon Falcom,Playstation,The Legend of Heroes
dbpedia_8808,Lego Jurassic World,2015-01-01,TT Fusion,Wii U,
dbpedia_8809,Dragon Quest V,1992-01-01,Chunsoft,Android (operating system),Dragon Quest
dbpedia_8810,The 7th Guest,2015-01-01,Trilobyte (company),Windows,
dbpedia_8811,List of Monster Jam video games,2003-01-01,Virtuos,PS3,Monster Jam
dbpedia_8812,Foul Play (video game),2013-01-01,Mediatonic,PlayStation Vita,
dbpedia_8813,Scrabble (video game),2002-01-01,Ubisoft Chengdu,Game.com,
dbpedia_8814,Danganronpa: Trigger Happy Havoc,2017-01-01,Spike (company),,Danganronpa
dbpedia_8815,Mortal Kombat 4,1998-01-01,Digital Eclipse,Microsoft Windows,Mortal Kombat
dbpedia_8816,Assassin's Creed III,2019-01-01,Ubisoft Montreal,PS3,Assassin's Creed
dbpedia_8817,Giana Sisters DS,2010-01-01,Spellbound Entertainment,Android (operating system),
dbpedia_8818,Pajama Sam 3: You Are What You Eat from Your Head to Your Feet,2000-01-01,Humongous Entertainment,Windows,
dbpedia_8819,Naruto: Ultimate Ninja,2005-01-01,"GREE, Inc.",IOS,
dbpedia_8820,Tony Stewart's Sprint Car Racing,2020-01-01,Monster Games,Xbox One,
dbpedia_8821,Another World (video game),2013-01-01,Delphine Software International,OS X,
dbpedia_8822,The Wing of Madoola,1986-01-01,Sunsoft,Nintendo Entertainment System,
dbpedia_8823,List of Fire Pro Wrestling games,2012-01-01,Spike (company),Sega Saturn,Fire Pro Wrestling
dbpedia_8824,Kane & Lynch 2: Dog Days,2010-01-01,IO Interactive,Microsoft Windows,
dbpedia_8825,Cheese Cat-Astrophe Starring Speedy Gonzales,1995-01-01,Cryo Interactive,Master System,
dbpedia_8826,Diablo II: Resurrected,2021-01-01,Vicarious Visions,,Diablo (series)
dbpedia_8827,Dance on Broadway,2010-01-01,AiLive,PS3,
dbpedia_8828,Michael Jackson: The Experience,2011-01-01,Ubisoft Montpellier,DS,
dbpedia_8829,Digimon All-Star Rumble,2014-01-01,Prope,Xbox 360,List of Digimon video games
dbpedia_8830,Fantasy Zone II: The Tears of Opa-Opa,1988-01-01,Sanritsu,MSX,Fantasy Zone
dbpedia_8831,Madden NFL 2005,2004-01-01,Budcat Creations,Tapwave Zodiac,Madden NFL
dbpedia_8832,Nioh,2017-01-01,Team Ninja,PlayStation 5,
dbpedia_8833,Bionic Commando (1987 video game),1987-01-01,Capcom,Amstrad CPC,Bionic Commando
dbpedia_8834,Pro Evolution Soccer 2013,2012-01-01,Konami,Xbox 360,Pro Evolution Soccer
dbpedia_8835,Heroes of Might and Magic III,1999-01-01,New World Computing,Macintosh,Heroes of Might and Magic
dbpedia_8836,The Duel: Test Drive II,,Distinctive Software,MSX,Test Drive (series)
dbpedia_8837,Risen 3: Titan Lords,2015-01-01,Piranha Bytes,PS4,Risen (series)
dbpedia_8838,Mighty Morphin Power Rangers (video game),1994-01-01,"SIMS Co., Ltd.",Sega CD,
dbpedia_8839,IL-2 Sturmovik: Birds of Prey,2009-01-01,Xbox 360,DS,
dbpedia_8840,Animal Paradise,2009-01-01,Empire Interactive,DS,
dbpedia_8841,SimCity (1989 video game),2006-01-01,Nintendo Entertainment Analysis and Development,Linux,SimCity
dbpedia_8842,Mega Man X2,1994-01-01,Capcom,Mobile computing,Mega Man X
dbpedia_8843,Rampage World Tour,1997-01-01,Point of View (company),Game Boy Color,Rampage (franchise)
dbpedia_8844,Castlevania: Symphony of the Night,1998-01-01,Konami Computer Entertainment Tokyo,PlayStation Portable,Castlevania
dbpedia_8845,New Super Mario Bros. U,2012-01-01,Nintendo EAD,Switch,Super Mario
dbpedia_8846,Oddworld: Stranger's Wrath,2014-01-01,Oddworld Inhabitants,OnLive,Oddworld
dbpedia_8847,Cabela's Deer Hunt: 2005 Season,2004-01-01,Fun Labs,PS2,
dbpedia_8848,Another World (video game),2011-01-01,Interplay Entertainment,Switch,
dbpedia_8849,Harry Potter: Wizards Unite,2019-01-01,WB Games San Francisco,IOS,Wizarding World
dbpedia_8850,Zombie Army Trilogy,2020-01-01,Rebellion Developments,Xbox One,Sniper Elite (series)
dbpedia_8852,The Book of Unwritten Tales 2,2016-01-01,The Adventure Company,Xbox One,
dbpedia_8853,The Escapists 2,2019-01-01,Team17,Microsoft Windows,
dbpedia_8854,Eschalon: Book I,2007-01-01,Basilisk Games,Cloud computing,Eschalon (video game series)
dbpedia_8855,King Kong (2005 video game),2005-01-01,Ubisoft Montpellier,Xbox 360,
dbpedia_8857,Lemmings (video game),1993-01-01,Sunsoft,Sharp X68000,
dbpedia_8858,Silent Scope (video game),2009-01-01,Now Production,Mobile phone,Silent Scope
dbpedia_8859,PDC World Championship Darts,2006-01-01,Mere Mortals,PS2,
dbpedia_8860,List of Monster Jam video games,2002-01-01,Rainbow Studios,Microsoft Windows,Monster Jam
dbpedia_8861,Homeland (video game),2005-01-01,Chunsoft,GameCube,
dbpedia_8862,Heroes of Might and Magic III,2015-01-01,New World Computing,Linux,Heroes of Might and Magic
dbpedia_8863,Gradius II,1992-01-01,Konami,PlayStation Network,Gradius
dbpedia_8864,Ready 2 Rumble Boxing: Round 2,2000-01-01,Point of View (developer),PS2,
dbpedia_8865,The King of Fighters '97,1997-01-01,Ukiyotei,Neo Geo CD,The King of Fighters
dbpedia_8866,Laplace no Ma,1987-01-01,Group SNE,NEC PC-8801,
dbpedia_8867,BattleTanx,2000-01-01,The 3DO Company,Game Boy Color,
dbpedia_8868,Goblin Commander: Unleash the Horde,2003-01-01,Jaleco,PS2,
dbpedia_8869,Cho Aniki,2003-01-01,Masaya Games,Wonderswan,
dbpedia_8870,The Playroom (1989 video game),1989-01-01,Broderbund,Amiga,
dbpedia_8871,Mace Griffin: Bounty Hunter,2003-01-01,Warthog Games,Xbox,
dbpedia_8872,Mario & Sonic at the Olympic Winter Games,2010-01-01,Racjin,IOS (Apple),Sonic the Hedgehog (series)
dbpedia_8873,Fantasy Zone II: The Tears of Opa-Opa,2008-01-01,SunSoft,Family Computer,Fantasy Zone
dbpedia_8874,Golden Axe (video game),,Sega,Game Gear,Golden Axe
dbpedia_8875,Shin Onigashima,1987-01-01,Nintendo R&D4,Satellaview,
dbpedia_8876,Magic Sword (video game),1993-01-01,Capcom,Super Nintendo,
dbpedia_8877,Flight Control (video game),2010-01-01,Firemint,OS X,
dbpedia_8878,Dave Mirra Freestyle BMX (video game),2001-01-01,Z-Axis,Playstation,Dave Mirra Freestyle BMX
dbpedia_8879,Syberia II,2015-01-01,MC2-Microïds,PS3,Syberia
dbpedia_8880,Hyrule Warriors,2014-01-01,Team Ninja,Wii U,The Legend of Zelda
dbpedia_8881,Lara Croft and the Guardian of Light,2010-01-01,Crystal Dynamics,Microsoft Windows,Tomb Raider
dbpedia_8882,Alien Syndrome (2007 video game),2007-01-01,Totally Games,PlayStation Portable,Alien Syndrome
dbpedia_8883,Dynasty Warriors Online,2010-01-01,Tecmo Koei,PS4,Dynasty Warriors
dbpedia_8884,Little King's Story,2009-01-01,Konami Digital Entertainment,Microsoft Windows,
dbpedia_8885,Tecmo Super Bowl III: Final Edition,1995-01-01,Tecmo,Sega Genesis,
dbpedia_8887,Theme Park (video game),2011-01-01,Krisalis Software,Sega Saturn,
dbpedia_8888,Road Blaster,2011-01-01,JVCKenwood Victor Entertainment,MSX,
dbpedia_8889,Air Combat 22,1995-01-01,Namco,Arcade game,
dbpedia_8890,SpongeBob SquarePants: Creature from the Krusty Krab,2006-01-01,Blitz Games,Microsoft Windows,SpongeBob SquarePants video games
dbpedia_8891,Whale Trail,2011-01-01,Ustwo,Android (operating system),
dbpedia_8892,Panzer Elite Action: Fields of Glory,2006-01-01,Wizarbox,PS2,
dbpedia_8893,Assassin's Creed: Altaïr's Chronicles,2009-01-01,Gameloft,DS,Assassin's Creed
dbpedia_8894,Oddworld: Stranger's Wrath,2012-01-01,BlackBerry,OnLive,Oddworld
dbpedia_8895,The Book of Unwritten Tales 2,2019-01-01,King Art Games,PS3,
dbpedia_8896,Quake (video game),1998-01-01,Id Software,AmigaOS,Quake (series)
dbpedia_8897,Cabela's Outdoor Adventures (2009 video game),2009-01-01,Fun Labs,Wii,
dbpedia_8899,Jack Lumber,2013-01-01,Owlchemy Labs,Linux,
dbpedia_8900,Actua Pool,1999-01-01,Mirage Technologies (Multimedia) Ltd.,Playstation,Actua Sports
dbpedia_8901,Song Summoner: The Unsung Heroes,2008-01-01,Square Enix,IOS (Apple),
dbpedia_8902,List of Monster Jam video games,2016-01-01,Virtuos,Wii,Monster Jam
dbpedia_8903,Front Line (video game),1982-01-01,Taito,PC-8801,
dbpedia_8904,Road Blaster,2011-01-01,JVCKenwood Victor Entertainment,3DO Interactive Multiplayer,
dbpedia_8905,Rome: Total War: Alexander,2014-01-01,Creative Assembly,Android (operating system),Total War (video game series)
dbpedia_8906,Oddworld: Stranger's Wrath,2022-01-01,Just Add Water (company),PlayStation Vita,Oddworld
dbpedia_8907,SteamWorld Quest,2019-01-01,Image & Form,Switch,SteamWorld
dbpedia_8908,Langrisser II,2009-01-01,Masaya Games,Playstation,Langrisser
dbpedia_8909,Sniper Elite (video game),2005-01-01,Rebellion Developments,Xbox,Sniper Elite
dbpedia_8910,Lemony Snicket's A Series of Unfortunate Events (video game),2004-01-01,Griptonite Games,Microsoft Windows,
dbpedia_8911,The Black Onyx,1988-01-01,Blue Planet Software,NEC PC-6001,
dbpedia_8912,The Walking Dead: The Final Season,2018-01-01,Telltale Games,Microsoft Windows,The Walking Dead (video game series)
dbpedia_8914,Star Wars Trilogy: Apprentice of the Force,2004-01-01,LucasArts,Game Boy Advance,
dbpedia_8917,Rugby Challenge (video game),2011-01-01,Sidhe (game developer),PS3,
dbpedia_8918,Horizon Chase - World Tour,2015-01-01,,Android (operating system),Horizon Chase
dbpedia_8919,Valorant,2020-01-01,Riot Games,Microsoft Windows,
dbpedia_8920,X-Men: The Official Game,2006-01-01,Amaze Entertainment,GameCube,
dbpedia_8921,Pathfinder: Kingmaker,2020-01-01,,MacOS,Pathfinder Roleplaying Game
dbpedia_8922,Oddworld: Stranger's Wrath,2005-01-01,Ouya,OnLive,Oddworld
dbpedia_8923,RoboCop 3 (video game),,Atari ST,DOS,List of RoboCop video games
dbpedia_8924,Yakuza Kiwami,2016-01-01,Ryu Ga Gotoku Studio,PS3,Yakuza (franchise)
dbpedia_8925,Last Stop (video game),2021-01-01,Variable State,Xbox One,
dbpedia_8926,Bokosuka Wars,1985-01-01,ASCII (company),I-Mode,
dbpedia_8927,Thor: God of Thunder,2011-01-01,Nintendo 3DS,Wii,
dbpedia_8928,The King of Fighters 2000,2000-01-01,Playmore,Linux,The King of Fighters
dbpedia_8930,Neon Genesis Evangelion: Ayanami Raising Project,2003-01-01,BROCCOLI,Dreamcast,
dbpedia_8931,Cricket (video game series),2005-01-01,HB Studios,PS2,
dbpedia_8932,Command & Conquer 3: Tiberium Wars,2007-01-01,EA Los Angeles,Mac OS X,
dbpedia_8933,Riven,1997-01-01,Cyan Worlds,Android (operating system),Myst (series)
dbpedia_8934,Everything (video game),2017-01-01,David OReilly (artist),Linux,
dbpedia_8935,Spider-Man: Shattered Dimensions,2010-01-01,Griptonite Games,PS3,
dbpedia_8936,Creed: Rise to Glory,2018-01-01,Survios,PlayStation VR,
dbpedia_8937,Oddworld: Stranger's Wrath,2012-01-01,IOS,IOS,Oddworld
dbpedia_8938,Carmageddon II: Carpocalypse Now,2000-01-01,Software Creations (UK),Microsoft Windows,
dbpedia_8939,Scrabble (video game),2001-01-01,Ubisoft Chengdu,Amiga,
dbpedia_8940,Brunswick Pro Bowling,2010-01-01,Xbox One,Xbox 360,
dbpedia_8941,Zombie Apocalypse (video game),2009-01-01,Nihilistic Software,PS3,
dbpedia_8942,Theme Park (video game),2011-01-01,EA Japan,PC-98,
dbpedia_8944,Always Sometimes Monsters,2015-01-01,Vagabond Dog,Linux,
dbpedia_8945,Romance of the Three Kingdoms VI: Awakening of the Dragon,1998-01-01,Koei,PlayStation Portable,Romance of the Three Kingdoms (video game series)
dbpedia_8946,Heroes of Mana,2007-01-01,Square Enix,DS,Mana (series)
dbpedia_8948,Mortal Kombat 3,,PlayStation,MS-DOS,Mortal Kombat
dbpedia_8949,Army Men: Air Attack,2000-01-01,The 3DO Company,Game Boy Color,Army Men
dbpedia_8950,Toki Tori,2012-01-01,Two Tribes (company),Game Boy Color,
dbpedia_8951,RoboBlitz,2006-01-01,Naked Sky Entertainment,Xbox 360,
dbpedia_8953,Conarium (video game),2019-01-01,Zoetrope Interactive,Xbox One,
dbpedia_8954,Diabolik: The Original Sin,2007-01-01,Artematica,PlayStation Portable,
dbpedia_8955,Assassin's Creed III: Liberation,2014-01-01,Ubisoft Sofia,Xbox One,Assassin's Creed
dbpedia_8956,AFL Live,2011-01-01,Big Ant Studios,Microsoft Windows,AFL (video game series)
dbpedia_8957,Crack Down,1990-01-01,Sega,Amiga,
dbpedia_8959,Bee Movie Game,2007-01-01,WildWorks,PS2,
dbpedia_8960,Putt-Putt Saves the Zoo,2022-01-01,Humongous Entertainment,Switch,
dbpedia_8961,Rango (video game),2011-01-01,Behaviour Interactive,Wii,
dbpedia_8962,Valkyria Chronicles (video game),2008-01-01,Sega,PS4,Valkyria Chronicles
dbpedia_8963,Caladrius (video game),2013-01-01,MOSS (company),Switch,
dbpedia_8965,List of Monster Jam video games,2014-01-01,Team6 Game Studios,GameCube,Monster Jam
dbpedia_8966,Bookworm (video game),2009-01-01,PopCap Games,IOS,
dbpedia_8968,Charlie and the Chocolate Factory (2005 video game),2005-01-01,High Voltage Software,Microsoft Windows,
dbpedia_8969,Dark Wizard,1993-01-01,Sega,Sega CD,
dbpedia_8970,Asphalt: Urban GT 2,2007-01-01,,N-Gage (device),Asphalt (series)
dbpedia_8971,Penguin Land,1987-01-01,Sega,Master System,
dbpedia_8972,Kid Icarus,2012-01-01,Nintendo Research & Development 1,3DS,Kid Icarus (series)
dbpedia_8974,Mad Riders,2012-01-01,Techland,MacOS,
dbpedia_8975,Madden NFL 07,2006-01-01,EA Tiburon,Xbox,Madden NFL
dbpedia_8976,Namcot Collection,2020-01-01,B.B. Studio,Xbox One,Namco Museum
dbpedia_8978,Tony Hawk's Downhill Jam,2006-01-01,Vicarious Visions,,Tony Hawk's (series)
dbpedia_8980,List of Fire Pro Wrestling games,2000-01-01,Spike (company),Mega Drive,Fire Pro Wrestling
dbpedia_8981,Super Monaco GP,1989-01-01,Sega,Amstrad CPC,
dbpedia_8982,List of Monster Jam video games,2016-01-01,Ubi Soft Barcelona,Xbox One,Monster Jam
dbpedia_8983,Warp (2012 video game),2012-01-01,Trapdoor (company),Microsoft Windows,
dbpedia_8984,Disciples II: Dark Prophecy,2003-01-01,Strategy First,Linux,
dbpedia_8985,The Silver Case,2017-01-01,Grasshopper Manufacture,Switch,
dbpedia_8986,Rocket League,2016-01-01,Psyonix,Switch,
dbpedia_8987,List of Fire Pro Wrestling games,1995-01-01,Human Entertainment,Dreamcast,Fire Pro Wrestling
dbpedia_8988,PGA Tour 97,1996-01-01,EA Sports,Sega Saturn,PGA Tour (video game series)
dbpedia_8989,The Pinball Arcade,2013-01-01,FarSight Studios,Kindle Fire,
dbpedia_8990,SimCity (1989 video game),1991-01-01,Nintendo Entertainment Analysis and Development,IBM OS/2,SimCity
dbpedia_8991,The Silver Case,1999-01-01,Grasshopper Manufacture,Linux,
dbpedia_8992,Cabela's Big Game Hunter 2005 Adventures,2004-01-01,Fun Labs,Xbox 360,
dbpedia_8993,Wonder Boy in Monster World,1991-01-01,Westone Bit Entertainment,PC Engine,
dbpedia_8994,World Series of Poker: Tournament of Champions,2006-01-01,Left Field Productions,PS2,
dbpedia_8995,Hanjuku Hero,2005-01-01,Square Enix,Famicom,
dbpedia_8996,Naruto: Ultimate Ninja,2007-01-01,CyberConnect2,PlayStation Portable,
dbpedia_8997,NHL Breakaway 98,1997-01-01,Iguana Entertainment,Nintendo 64,
dbpedia_8998,Tom Clancy's Rainbow Six: Vegas,2007-01-01,Ubisoft Montreal,PlayStation Portable,Tom Clancy's Rainbow Six
dbpedia_8999,Madden NFL 06,2005-01-01,Exient Entertainment,Game Boy Advance,Madden NFL
dbpedia_9000,Sherlock Holmes: The Awakened (2007 video game),2007-01-01,Frogwares,Microsoft Windows,Sherlock Holmes (video game series)
dbpedia_9003,Grand Theft Auto: Vice City,2002-01-01,Rockstar North,Mac OS X,Grand Theft Auto
dbpedia_9004,Rayman Legends,2014-01-01,Ubisoft Montpellier,PS4,Rayman
dbpedia_9006,Ark: Survival Evolved,2017-01-01,Studio Wildcard,PS4,
dbpedia_9007,4x4 Evo 2,2002-01-01,Terminal Reality,MacOS,
dbpedia_9008,Always Sometimes Monsters,2017-01-01,Vagabond Dog,OS X,
dbpedia_9009,Mega Man Legacy Collection,2020-01-01,Capcom,3DS,Mega Man Zero
dbpedia_9010,List of Monster Jam video games,2003-01-01,Torus Games,DS,Monster Jam
dbpedia_9011,Lego Batman 2: DC Super Heroes,2013-01-01,Traveller's Tales,OS X,Lego Batman
dbpedia_9012,Beetlejuice (video game series),1992-01-01,Rare (company),Game Boy,
dbpedia_9014,FIFA 06,2005-01-01,Exient Entertainment,Xbox 360 (console),FIFA (video game series)
dbpedia_9015,Quartet (video game),1986-01-01,Sega,Master System,
dbpedia_9016,The Bigs 2,2009-01-01,Blue Castle Games,PS3,The Bigs
dbpedia_9017,Test Drive: Off-Road 3,1999-01-01,Accolade (company),Microsoft Windows,Test Drive (series)
dbpedia_9018,Monster 4x4: World Circuit,2006-01-01,Ubisoft Barcelona,Xbox,
dbpedia_9019,MX Superfly,2002-01-01,Pacific Coast Power & Light,Xbox,MX (series)
dbpedia_9020,Oddworld: Stranger's Wrath,2011-01-01,Oddworld Inhabitants,Switch,Oddworld
dbpedia_9021,Quake (video game),2021-01-01,Id Software,Sega Saturn,Quake (series)
dbpedia_9022,Angry Birds (video game),2010-01-01,Rovio Entertainment,Google Plus,Angry Birds
dbpedia_9023,List of Monster Jam video games,2007-01-01,Inland Productions,Xbox One,Monster Jam
dbpedia_9024,Dofus Arena,2010-01-01,Ankama Games,Linux,
dbpedia_9025,Risk (video game),2009-01-01,Zoë Mode,Windows Mobile,
dbpedia_9026,Plundered Hearts,1987-01-01,Infocom,Apple II,
dbpedia_9027,Rome: Total War,2018-01-01,Creative Assembly,IOS,Total War (video game series)
dbpedia_9028,Darkstar: The Interactive Movie,2010-01-01,Parallax Studio,Microsoft Windows,
dbpedia_9030,Rez (video game),2008-01-01,United Game Artists,Microsoft Windows,
dbpedia_9031,Dragon Ball Z: Battle of Z,2014-01-01,Artdink,PlayStation Vita,Dragon Ball
dbpedia_9033,Perseus and Andromeda (video game),,Brian Howarth,ZX Spectrum,Mysterious Adventures
dbpedia_9034,Mario & Sonic at the Olympic Winter Games,2009-01-01,Sonic Team,IOS (Apple),List of Mario sports games
dbpedia_9035,Sonic the Hedgehog 4: Episode II,2012-01-01,Dimps,Shield Android TV,Sonic the Hedgehog
dbpedia_9036,Tom Clancy's Splinter Cell: Conviction,2010-01-01,Ubisoft Montreal,Windows Phone,Tom Clancy's Splinter Cell
dbpedia_9038,ESPN MLS GameNight,2000-01-01,Saffire (company),Playstation,
dbpedia_9039,Nier: Automata,2017-01-01,PlatinumGames,PS4,Drakengard
dbpedia_9040,Gradius II,2006-01-01,Konami,X68000,Gradius
dbpedia_9043,Uno (video game),2016-01-01,Carbonated Games,PlayStation Portable,Uno (card game)
dbpedia_9044,Planetarian: The Reverie of a Little Planet,2006-01-01,Key (company),IOS,
dbpedia_9045,List of Monster Jam video games,2019-01-01,Inland Productions,GameCube,Monster Jam
dbpedia_9046,Trials of Mana (2020 video game),2021-01-01,,Microsoft Windows,Mana (series)
dbpedia_9047,Fallout Shelter,2016-01-01,,Switch,Fallout (series)
dbpedia_9048,Fractal (video game),2010-01-01,Cipher Prime,IOS,
dbpedia_9049,SimCity (1989 video game),1989-01-01,Babaroga (game company),J2ME,SimCity
dbpedia_9050,Call of Duty: Ghosts,2013-01-01,Infinity Ward,PS4,Call of Duty
dbpedia_9051,The Journey Down,2014-01-01,Skygoblin,PS4,
dbpedia_9052,Baldur's Gate II: Enhanced Edition,2014-01-01,Overhaul Games,IOS,Baldur's Gate (series)
dbpedia_9053,Fish Tycoon,2004-01-01,Last Day of Work,Windows Mobile,
dbpedia_9054,Doom II,2019-01-01,Id Software,Tapwave Zodiac,Doom (franchise)
dbpedia_9055,Mini Mario & Friends: Amiibo Challenge,2016-01-01,Nintendo Software Technology,3DS,Mario vs. Donkey Kong
dbpedia_9056,Metal Slug 3,2000-01-01,Noise Factory,Linux,Metal Slug
dbpedia_9057,Duke Nukem 3D,2013-01-01,Nerve Software,Android (operating system),Duke Nukem
dbpedia_9058,Robinson's Requiem,2009-01-01,Silmarils (company),Amiga,
dbpedia_9059,Warriors of Fate,1996-01-01,Capcom,Capcom Power System Changer,
dbpedia_9060,Phoenix Wright: Ace Attorney – Trials and Tribulations,2014-01-01,Capcom Production Studio 4,Game Boy Advance,Ace Attorney
dbpedia_9061,TwinBee,1986-01-01,Konami,Xbox 360,
dbpedia_9062,Solomon's Key,2012-01-01,Probe Software,Master System,
dbpedia_9063,PixelJunk Eden,2012-01-01,Q-Games,PS3,PixelJunk
dbpedia_9064,Assassin's Creed III: Liberation,2014-01-01,Ubisoft Sofia,Switch,Assassin's Creed
dbpedia_9065,Medieval II: Total War,2006-01-01,Feral Interactive,Linux,Total War (video game series)
dbpedia_9066,Little Busters!,2009-01-01,Key (company),PS2,
dbpedia_9067,Jet Moto (video game),1996-01-01,Sony Interactive Studios America,Microsoft Windows,Jet Moto
dbpedia_9068,Oddworld: Stranger's Wrath,2020-01-01,Just Add Water (company),OnLive,Oddworld
dbpedia_9069,Phoenix Wright: Ace Attorney – Trials and Tribulations,2019-01-01,Capcom Production Studio 4,IOS,Ace Attorney
dbpedia_9070,Darksiders II,2012-01-01,Vigil Games,PS3,Darksiders
dbpedia_9071,SpongeBob's Truth or Square (video game),2009-01-01,Barking Lizards Technologies,Xbox 360,SpongeBob SquarePants video games
dbpedia_9072,Final Fight (video game),1989-01-01,,X68000,Final Fight
dbpedia_9073,Secret Agent Clank,2009-01-01,Sanzaru Games,PlayStation Portable,Ratchet & Clank
dbpedia_9075,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,2017-01-01,Omega Force,PS4,Dynasty Warriors
