Attribute_1,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,sales
sales_1822,Harvest Moon DS: Island of Happiness,2007-01-01,TOSE,Rising Star Games,DS,65,7.0,E,0
sales_1823,Star Wars Episode III: Revenge of the Sith,2005-01-01,Ubisoft,Ubisoft,Game Boy Advance,73,7.5,E10+,0
sales_1824,Ultimate Spider-Man,2005-01-01,Treyarch,Activision,PS2,74,7.9,T,0
sales_1825,Monopoly Streets,2010-01-01,Electronic Arts,Electronic Arts,Wii,65,5.2,E,0
sales_1826,Rabbids Go Home,2009-01-01,Ubisoft Montpellier,Ubisoft,DS,70,,E,0
sales_1827,Total War: Rome II,2013-01-01,Creative Assembly,Sega,PC,76,4.2,T,0
sales_1828,NBA Live 08,2007-01-01,EA Canada,Electronic Arts,PS2,68,6.6,E,0
sales_1829,Star Ocean: The Last Hope International,2010-01-01,"Square Enix, Tri-Ace",Square Enix,PS3,74,6.7,T,0
sales_1830,Dead to Rights,2002-01-01,Namco,Electronic Arts,Xbox,73,8.9,M,0
sales_1831,Indiana Jones and the Staff of Kings,2009-01-01,Artificial Mind and Movement,Activision,Wii,55,7.0,T,0
sales_1832,Tiger Woods PGA Tour 07,2006-01-01,EA Redwood Shores,Electronic Arts,PS2,79,6.0,E,0
sales_1833,Major League Baseball 2K7,2007-01-01,Kush Games,Spike,Xbox 360,79,7.1,E,0
sales_1834,Persona Q: Shadow of the Labyrinth,2014-01-01,Atlus,Nippon Ichi Software,3DS,83,8.1,M,0
sales_1835,MLB 14: The Show,2014-01-01,SCEA San Diego Studios,Sony Computer Entertainment America,PS4,83,7.7,E,0
sales_1836,X-Men: Mutant Academy 2,2001-01-01,Paradox Development,Activision,Playstation,72,8.4,T,0
sales_1837,Kirby: Canvas Curse,2005-01-01,HAL Labs,Nintendo,DS,86,8.2,E,0
sales_1838,Madden NFL 10,2009-01-01,EA Tiburon,Electronic Arts,Wii,77,7.2,E,0
sales_1839,MLB 09: The Show,2009-01-01,SCEA San Diego Studios,Sony Computer Entertainment,PS3,90,8.1,E,0
sales_1840,Borderlands: The Pre-Sequel,2014-01-01,2K Australia,Take-Two Interactive,Xbox 360,74,6.4,M,0
sales_1841,Super Monkey Ball Jr.,2002-01-01,Realism Ltd,Atari,Game Boy Advance,82,8.6,E,0
sales_1842,The Witcher 3: Wild Hunt,2015-01-01,CD Projekt Red Studio,Namco Bandai Games,PC,93,9.3,M,0
sales_1843,F1 2011,2011-01-01,Codemasters,Codemasters,Xbox 360,84,7.1,E,0
sales_1844,Mobile Suit Gundam: Encounters in Space,2003-01-01,Bandai,Namco Bandai Games,PS2,66,8.5,T,0
sales_1845,MLB 10: The Show,2010-01-01,SCEA,Sony Computer Entertainment,PS3,91,8.3,E,0
sales_1846,MX vs. ATV Reflex,2009-01-01,Rainbow Studios,THQ,Xbox 360,75,6.6,E,0
sales_1847,Blur,2010-01-01,Bizarre Creations,Activision,PS3,81,8.2,E10+,0
sales_1848,Battlefield: Bad Company 2,2010-01-01,EA DICE,Electronic Arts,PC,87,8.3,M,0
sales_1849,DiRT 3,2011-01-01,Codemasters,Codemasters,Xbox 360,87,7.1,T,0
sales_1850,The Lord of the Rings: The Two Towers,2002-01-01,Stormfront Studios,Electronic Arts,Xbox,79,8.1,T,0
sales_1851,Madden NFL 2003,2002-01-01,EA Tiburon,Electronic Arts,Xbox,92,8.3,E,0
sales_1852,Skate,2007-01-01,EA Black Box,Electronic Arts,Xbox 360,86,8.4,T,0
sales_1853,XCOM: Enemy Unknown,2012-01-01,Firaxis Games,Take-Two Interactive,PC,89,8.2,M,0
sales_1854,Ben 10: Protector of Earth,2007-01-01,High Voltage Software,D3Publisher,Playstation Portable,60,7.2,E10+,0
sales_1855,Virtua Fighter 4: Evolution,2003-01-01,Sega,Sega,PS2,93,9.0,T,0
sales_1856,Crysis,2007-01-01,Crytek,Electronic Arts,PC,91,8.0,M,0
sales_1857,Resident Evil: Survivor,2000-01-01,Capcom,Eidos Interactive,Playstation,39,7.0,M,0
sales_1858,The Sims 2: Castaway,2007-01-01,Full Fat,Electronic Arts,DS,66,4.0,E,0
sales_1859,Super Trucks Racing,2002-01-01,Jester Interactive,Jester Interactive,PS2,66,,E,0
sales_1860,Godzilla: Destroy All Monsters Melee,2002-01-01,"Pipeworks Software, Inc.",Atari,GameCube,73,7.8,T,0
sales_1861,Jeremy McGrath Supercross 2000,2000-01-01,Acclaim,Acclaim Entertainment,Playstation,43,,E,0
sales_1862,Silent Hill 3,2003-01-01,KCET,Konami Digital Entertainment,PS2,85,8.8,M,0
sales_1863,Spyro: Enter the Dragonfly,2002-01-01,Equinoxe,Universal Interactive,GameCube,48,5.1,E,0
sales_1864,Scooby-Doo 2: Monsters Unleashed,2004-01-01,Altron,THQ,Game Boy Advance,46,,E,0
sales_1865,Power Rangers: Dino Thunder,2004-01-01,Pacific Coast Power & Light,THQ,PS2,49,6.2,E,0
sales_1866,Madden NFL 08,2007-01-01,EA Tiburon,Electronic Arts,Playstation Portable,75,6.8,E,0
sales_1867,Madden NFL 09,2008-01-01,EA Tiburon,Electronic Arts,Playstation Portable,68,6.5,E,0
sales_1868,NBA Live 09,2008-01-01,EA Canada,Electronic Arts,Xbox 360,77,7.4,E,0
sales_1869,Dragon Ball: Xenoverse 2,2016-01-01,Dimps Corporation,Namco Bandai Games,PS4,73,7.8,T,0
sales_1870,Dynasty Warriors 6,2007-01-01,"Koei, Omega Force",Tecmo Koei,PS3,59,7.3,T,0
sales_1871,NCAA Football 09,2008-01-01,EA Tiburon,Electronic Arts,Xbox 360,83,7.7,E,0
sales_1872,Doom 3: Resurrection of Evil,2005-01-01,"id Software, Nerve Software",Activision,Xbox,77,7.9,M,0
sales_1873,SSX,2012-01-01,EA Canada,Electronic Arts,Xbox 360,82,6.4,E,0
sales_1874,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,2007-01-01,"Eighting, Genius Sonority Inc.",Square Enix,Wii,65,5.9,T,0
sales_1875,Two Worlds,2007-01-01,Reality Pump,SouthPeak Games,Xbox 360,50,5.5,M,0
sales_1876,Tony Hawk's Underground,2003-01-01,Neversoft Entertainment,Activision,GameCube,89,8.5,T,0
sales_1877,Spider-Man 2,2005-01-01,Vicarious Visions,Activision,Playstation Portable,67,6.9,T,0
sales_1878,NCAA Football 08,2007-01-01,EA Sports,Electronic Arts,Xbox 360,81,7.8,E,0
sales_1879,Skylanders: Trap Team,2014-01-01,Toys for Bob,Activision,WiiU,86,7.1,E10+,0
sales_1880,Star Wars: Obi-Wan,2001-01-01,LucasArts,Activision,Xbox,58,5.9,T,0
sales_1881,Ace Attorney Investigations: Miles Edgeworth,2009-01-01,Capcom,Capcom,DS,78,8.4,T,0
sales_1882,Kill.Switch,2003-01-01,Namco,Sony Computer Entertainment,PS2,73,8.3,T,0
sales_1883,Catherine,2011-01-01,Atlus,Deep Silver,PS3,79,8.1,M,0
sales_1884,Madden NFL 2005,2004-01-01,EA Tiburon,Electronic Arts,GameCube,90,,E,0
sales_1885,F-14 Tomcat,2001-01-01,Virtucraft,Majesco Entertainment,Game Boy Advance,67,,E,0
sales_1886,SplashDown,2001-01-01,Rainbow Studios,Atari,PS2,84,8.2,E,0
sales_1887,Jade Empire,2005-01-01,BioWare,Microsoft Game Studios,Xbox,89,8.6,M,0
sales_1888,Infinite Undiscovery,2008-01-01,Tri-Ace,Square Enix,Xbox 360,68,7.0,T,0
sales_1889,FIFA Soccer 11,2010-01-01,EA Sports,Electronic Arts,DS,63,,E,0
sales_1890,Lego Star Wars: The Force Awakens,2016-01-01,TT Games,Warner Bros. Interactive Entertainment,PS4,78,7.5,E10+,0
sales_1891,NHL 12,2011-01-01,Electronic Arts,Electronic Arts,Xbox 360,86,7.0,E10+,0
sales_1892,Advance Wars,2001-01-01,Intelligent Systems,Nintendo,Game Boy Advance,92,9.0,E,0
sales_1893,NASCAR 2001,2000-01-01,EA Sports,Electronic Arts,PS2,66,6.6,E,0
sales_1894,Mafia,2004-01-01,Illusion Softworks,Illusion Softworks,PS2,65,7.6,M,0
sales_1895,Ape Escape: On the Loose,2005-01-01,"SCEA, Sims",Sony Computer Entertainment,Playstation Portable,66,6.4,E,0
sales_1896,Mobile Suit Gundam: Journey to Jaburo,2000-01-01,Bandai,Namco Bandai Games,PS2,58,8.1,T,0
sales_1897,MLB 08: The Show,2008-01-01,SCEA San Diego Studios,Sony Computer Entertainment,PS3,85,8.7,E,0
sales_1898,TimeSplitters 2,2002-01-01,Free Radical Design,Eidos Interactive,PS2,90,8.8,T,0
sales_1899,Omerta: City of Gangsters,2011-01-01,Kalypso,Konami Digital Entertainment,Xbox 360,43,3.3,T,0
sales_1900,Driver: San Francisco,2011-01-01,Ubisoft Reflections,Ubisoft,Xbox 360,80,7.6,T,0
sales_1901,Classic NES Series: Zelda II: The Adventure of Link,2004-01-01,Nintendo,Nintendo,Game Boy Advance,73,7.5,E,0
sales_1902,Disney's Chicken Little,2005-01-01,Artificial Mind and Movement,Disney Interactive Studios,Game Boy Advance,71,,E,0
sales_1903,James Bond 007: Blood Stone,2010-01-01,Bizarre Creations,Activision,PS3,65,7.4,T,0
sales_1904,Metal Gear Solid: Portable Ops Plus,2007-01-01,Kojima Productions,Konami Digital Entertainment,Playstation Portable,65,7.5,T,0
sales_1905,LEGO Rock Band,2009-01-01,TT Fusion,Warner Bros. Interactive Entertainment,Wii,70,6.8,E10+,0
sales_1906,Halo 2 Multiplayer Map Pack,2005-01-01,Bungie Software,Microsoft Game Studios,Xbox,89,7.4,M,0
sales_1907,Mortal Kombat: Shaolin Monks,2005-01-01,Midway Studios - Los Angeles,Midway Games,PS2,77,8.6,M,0
sales_1908,MotionSports,2010-01-01,Ubisoft Milan,Ubisoft,Xbox 360,40,4.4,T,0
sales_1909,MX vs. ATV Unleashed: On the Edge,2006-01-01,Rainbow Studios,THQ,Playstation Portable,68,8.1,E,0
sales_1910,Mario Pinball Land,2004-01-01,Fuse Games Limited,Nintendo,Game Boy Advance,62,4.9,E,0
sales_1911,Dragon Ball Z: Budokai,2003-01-01,Pyramid,Atari,GameCube,65,6.3,T,0
sales_1912,Plants vs. Zombies: Garden Warfare,2014-01-01,PopCap,Electronic Arts,XOne,76,7.4,E10+,0
sales_1913,Need for Speed Rivals,2013-01-01,Ghost Games,Electronic Arts,XOne,75,5.8,E10+,0
sales_1914,The Sims 2: Apartment Pets,2008-01-01,Full Fat,Electronic Arts,DS,50,3.3,E,0
sales_1915,Harry Potter and the Chamber of Secrets,2002-01-01,Eurocom Entertainment Software,Electronic Arts,GameCube,77,8.3,E,0
sales_1916,Prince of Persia: The Forgotten Sands,2010-01-01,Ubisoft Montreal,Ubisoft,PS3,75,7.6,T,0
sales_1917,The Lord of the Rings: The Return of the King,2003-01-01,Hypnos Entertainment,Electronic Arts,GameCube,84,8.5,T,0
sales_1918,The Sims: Medieval,2011-01-01,The Sims Studio,Electronic Arts,PC,77,6.1,T,0
sales_1919,Top Spin 4,2011-01-01,2K Czech,Take-Two Interactive,PS3,82,7.7,E,0
sales_1920,Baldur's Gate: Dark Alliance II,2004-01-01,Black Isle Studios,Interplay,PS2,78,8.7,T,0
sales_1921,Shark Tale,2004-01-01,Vicarious Visions,Activision,Game Boy Advance,63,9.0,E,0
sales_1922,IL-2 Sturmovik: Birds of Prey,2009-01-01,Gaijin Entertainment,505 Games,PS3,81,7.3,T,0
sales_1923,NBA Street Vol. 2,2003-01-01,Electronic Arts,Electronic Arts,Xbox,89,8.8,E,0
sales_1924,MX vs. ATV Untamed,2007-01-01,Rainbow Studios,THQ,Xbox 360,70,7.1,E,0
sales_1925,The Last Remnant,2008-01-01,Square Enix,Square Enix,Xbox 360,66,6.9,M,0
sales_1926,NCAA Football 2005,2004-01-01,EA Sports,Electronic Arts,Xbox,89,8.0,E,0
sales_1927,The Sly Collection,2010-01-01,Sanzaru Games,Sony Computer Entertainment,PS3,85,8.8,E10+,0
sales_1928,Naruto: Clash of Ninja,2003-01-01,Tomy Corporation,Tomy Corporation,GameCube,72,8.1,T,0
sales_1929,Sniper Elite 3,2014-01-01,Rebellion,505 Games,PS4,67,7.1,M,0
sales_1930,Prince of Persia: The Two Thrones,2005-01-01,Ubisoft Montreal,Ubisoft,PS2,85,8.5,M,0
sales_1931,Hot Shots Golf: Open Tee 2,2007-01-01,Clap Hanz,Sony Computer Entertainment,Playstation Portable,82,8.6,E,0
sales_1932,Suikoden II,1998-01-01,Konami,Konami Digital Entertainment,Playstation,82,8.4,T,0
sales_1933,Iron Man,2008-01-01,Secret Level,Sega,PS3,42,6.2,T,0
sales_1934,FIFA Soccer 06,2005-01-01,EA Canada,Electronic Arts,Xbox,80,7.5,E,0
sales_1935,Fight Night 2004,2004-01-01,EA Sports,Electronic Arts,Xbox,85,8.7,T,0
sales_1936,.hack//Mutation Part 2,2002-01-01,CyberConnect2,Atari,PS2,76,8.9,T,0
sales_1937,Wolfenstein: The New Order,2014-01-01,MachineGames,Bethesda Softworks,XOne,79,7.8,M,0
sales_1938,Cars: Mater-National Championship,2007-01-01,Rainbow Studios,THQ,DS,69,6.8,E,0
sales_1939,LEGO Harry Potter: Years 1-4,2010-01-01,TT Fusion,Warner Bros. Interactive Entertainment,Playstation Portable,71,,E10+,0
sales_1940,Midway Arcade Treasures 2,2004-01-01,Backbone Entertainment,Midway Games,PS2,74,,M,0
sales_1941,Kirby's Dream Collection: Special Edition,2012-01-01,HAL Labs,Nintendo,Wii,82,8.8,E10+,0
sales_1942,Return to Castle Wolfenstein: Tides of War,2003-01-01,Nerve Software,Activision,Xbox,84,8.8,M,0
sales_1943,RIFT,2011-01-01,Trion Worlds,Unknown,PC,84,7.3,T,0
sales_1944,Spider-Man 3,2007-01-01,Treyarch,Activision,PS3,60,7.0,T,0
sales_1945,Mass Effect,2008-01-01,"BioWare, Demiurge Studios",Electronic Arts,PC,89,8.6,M,0
sales_1946,The Evil Within,2014-01-01,Tango Gameworks,Bethesda Softworks,XOne,79,7.3,M,0
sales_1947,Armored Core 3,2002-01-01,From Software,Metro 3D,PS2,74,9.0,T,0
sales_1948,Star Wars: Republic Commando,2005-01-01,LucasArts,Activision,Xbox,78,8.9,T,0
sales_1949,The LEGO Movie Videogame,2014-01-01,TT Games,Warner Bros. Interactive Entertainment,PS4,71,7.1,E10+,0
sales_1950,Turok,2008-01-01,Propaganda Games,Touchstone,PS3,67,6.0,M,0
sales_1951,Terraria,2013-01-01,Engine Software,505 Games,Xbox 360,81,7.2,T,0
sales_1952,Red Steel,2006-01-01,Ubisoft Paris,Ubisoft,Wii,63,6.8,T,0
sales_1953,Unreal Tournament III,2007-01-01,Epic Games,Midway Games,PS3,86,7.7,M,0
sales_1954,Fossil Fighters: Champions,2010-01-01,"RED Entertainment, Artdink",Nintendo,DS,68,7.1,E,0
sales_1955,The Sims 3,2010-01-01,Exient Entertainment,Electronic Arts,DS,73,6.4,E,0
sales_1956,Pro Pinball: Big Race USA,1999-01-01,Cunning Developments,Take-Two Interactive,Playstation,69,,E,0
sales_1957,NFL Street,2004-01-01,EA Tiburon,Electronic Arts,Xbox,81,8.8,E,0
sales_1958,Final Fantasy Crystal Chronicles: Ring of Fates,2007-01-01,Square Enix,Square Enix,DS,77,7.2,E10+,0
sales_1959,Bakugan: Battle Brawlers,2009-01-01,Now Production,Activision,Wii,62,7.2,E,0
sales_1960,Blazing Angels: Squadrons of WWII,2006-01-01,Ubisoft,Ubisoft,PS3,67,6.9,T,0
sales_1961,WWE SmackDown vs. RAW 2007,2006-01-01,Yuke's,THQ,Playstation Portable,78,8.1,T,0
sales_1962,F1 2015,2015-01-01,Codemasters,Codemasters,PS4,65,6.3,E,0
sales_1963,Tony Hawk's Proving Ground,2007-01-01,Page 44 Studios,Activision,PS2,65,6.6,T,0
sales_1964,The Darkness,2007-01-01,Starbreeze,Take-Two Interactive,PS3,80,7.7,M,0
sales_1965,MLB 2004,2003-01-01,989 Sports,Sony Computer Entertainment,PS2,61,7.9,E,0
sales_1966,Darkstone,2001-01-01,Delphine Software International,Electronic Arts,Playstation,58,8.3,T,0
sales_1967,NCAA March Madness 2003,2002-01-01,NuFX,Electronic Arts,PS2,74,8.0,E,0
sales_1968,Finding Nemo,2003-01-01,Traveller's Tales,THQ,Xbox,63,,E,0
sales_1969,Thrillville,2006-01-01,Frontier Developments,Atari,PS2,69,2.9,E10+,0
sales_1970,Madagascar,2005-01-01,Toys for Bob,Activision,GameCube,70,,E10+,0
sales_1971,Castlevania: Lords of Shadow,2010-01-01,Mercury Steam,Konami Digital Entertainment,Xbox 360,83,7.8,M,0
sales_1972,NHL 10,2009-01-01,EA Canada,Electronic Arts,Xbox 360,88,8.4,E10+,0
sales_1973,Street Fighter Anniversary Collection,2004-01-01,Capcom,Capcom,PS2,78,8.7,T,0
sales_1974,NHL 13,2012-01-01,Electronic Arts,Electronic Arts,Xbox 360,83,6.6,E10+,0
sales_1975,Napoleon: Total War,2010-01-01,Creative Assembly,Sega,PC,81,7.9,T,0
sales_1976,Rayman Legends,2013-01-01,Ubisoft Montpellier,Ubisoft,WiiU,92,8.7,E10+,0
sales_1977,The Sims: Bustin' Out,2003-01-01,Maxis,Electronic Arts,GameCube,81,9.0,T,0
sales_1978,BioShock Infinite,2013-01-01,Irrational Games,Take-Two Interactive,PC,94,8.5,M,0
sales_1979,Ratatouille,2007-01-01,Locomotive Games,THQ,Playstation Portable,64,7.1,E,0
sales_1980,Lollipop Chainsaw,2012-01-01,Grasshopper Manufacture,Warner Bros. Interactive Entertainment,PS3,67,7.1,M,0
sales_1981,Tom Clancy's EndWar,2008-01-01,Ubisoft Shanghai,Ubisoft,PS3,76,6.6,T,0
sales_1982,Shrek: Hassle at the Castle,2002-01-01,TOSE,TDK Mediactive,Game Boy Advance,71,7.4,E,0
sales_1983,Suikoden IV,2004-01-01,KCET,Konami Digital Entertainment,PS2,63,7.3,T,0
sales_1984,Gods Eater Burst,2010-01-01,"Shift, Bandai Namco Games",Namco Bandai Games,Playstation Portable,71,7.9,T,0
sales_1985,Fist of the North Star: Ken's Rage,2010-01-01,"Koei, Omega Force",Ubisoft Annecy,PS3,60,6.9,M,0
sales_1986,Disney's Kim Possible 2: Drakken's Demise,2004-01-01,Artificial Mind and Movement,Disney Interactive Studios,Game Boy Advance,77,,E,0
sales_1987,One Piece: Pirate Warriors 2,2013-01-01,Omega Force,Namco Bandai Games,PS3,71,7.8,T,0
sales_1988,Brothers In Arms: Road to Hill 30,2005-01-01,Gearbox Software,Ubisoft,Xbox,88,8.0,M,0
sales_1989,LEGO Jurassic World,2015-01-01,TT Games,Warner Bros. Interactive Entertainment,XOne,70,6.7,E10+,0
sales_1990,Kung Fu Panda,2008-01-01,Xpec,Activision,PS2,73,8.6,E10+,0
sales_1991,Freedom Wars,2014-01-01,"Dimps Corporation, SCE Japan Studio",Sony Computer Entertainment,Playstation Vita,73,8.3,T,0
sales_1992,Shaun White Snowboarding,2008-01-01,Ubisoft Montreal,Ubisoft,PS3,63,6.3,T,0
sales_1993,Radiata Stories,2005-01-01,Tri-Ace,Square Enix,PS2,74,9.0,T,0
sales_1994,F-Zero GX,2003-01-01,Amusement Vision,Nintendo,GameCube,89,8.5,T,0
sales_1995,Disney's Chicken Little,2005-01-01,Avalanche Software,Disney Interactive Studios,PS2,60,8.9,E10+,0
sales_1996,Scene It? Box Office Smash,2008-01-01,"Krome Studios, Screenlife Games",Microsoft Game Studios,Xbox 360,76,7.4,T,0
sales_1997,Yoshi Topsy-Turvy,2004-01-01,Artoon,Nintendo,Game Boy Advance,60,6.6,E,0
sales_1998,Monster Jam: Maximum Destruction,2002-01-01,Ubisoft,Ubisoft,PS2,47,6.0,T,0
sales_1999,Tiger Woods PGA Tour 09,2008-01-01,EA Tiburon,Electronic Arts,PS3,82,7.2,E,0
sales_2000,Mortal Kombat,2012-01-01,NetherRealm Studios,Warner Bros. Interactive Entertainment,Playstation Vita,85,7.8,M,0
sales_2001,Tiger Woods PGA Tour 09,2008-01-01,EA Tiburon,Electronic Arts,Xbox 360,84,7.8,E,0
sales_2002,Advance Wars 2: Black Hole Rising,2003-01-01,Intelligent Systems,Nintendo,Game Boy Advance,89,9.4,E,0
sales_2003,Wario: Master of Disguise,2007-01-01,Suzak,Nintendo,DS,60,7.4,E10+,0
sales_2004,The Last Story,2011-01-01,"Mistwalker, Artoon",Nintendo,Wii,80,8.4,T,0
sales_2005,Drakengard,2003-01-01,Cavia Inc.,Square Enix,PS2,63,9.1,M,0
sales_2006,Champions: Return to Arms,2005-01-01,Snowblind Studios,Sony Online Entertainment,PS2,77,8.8,T,0
sales_2007,Harry Potter and the Goblet of Fire,2005-01-01,Electronic Arts,Electronic Arts,PS2,68,6.7,E10+,0
sales_2008,MX vs. ATV Untamed,2007-01-01,Rainbow Studios,THQ,Playstation Portable,59,,E,0
sales_2009,Tiger Woods PGA Tour 10,2009-01-01,EA Tiburon,Electronic Arts,Xbox 360,80,6.9,E,0
sales_2010,007: Quantum of Solace,2008-01-01,Treyarch,Activision,Wii,54,7.5,T,0
sales_2011,Wall-E,2008-01-01,Heavy Iron Studios,THQ,Playstation Portable,64,,E,0
sales_2012,Farming Simulator 17,2016-01-01,Giants Software,Focus Home Interactive,PC,64,8.0,E,0
sales_2013,Borderlands 2,2014-01-01,Iron Galaxy Studios,Take-Two Interactive,Playstation Vita,64,7.6,M,0
sales_2014,Crash Bandicoot Purple: Ripto's Rampage,2004-01-01,Vicarious Visions,Vivendi Games,Game Boy Advance,67,6.6,E,0
sales_2015,Assassin's Creed IV: Black Flag,2013-01-01,Ubisoft,Ubisoft,PC,84,7.7,M,0
sales_2016,Need For Speed: Undercover,2008-01-01,Exient Entertainment,Electronic Arts,Wii,54,6.2,T,0
sales_2017,Spyro: A Hero's Tail,2004-01-01,Eurocom Entertainment Software,Vivendi Games,PS2,60,8.0,E,0
sales_2018,Crash: Twinsanity,2004-01-01,Traveller's Tales,Vivendi Games,PS2,64,8.0,E,0
sales_2019,The LEGO Movie Videogame,2014-01-01,TT Games,Warner Bros. Interactive Entertainment,WiiU,68,7.7,E10+,0
sales_2020,Max Payne 2: The Fall of Max Payne,2003-01-01,Remedy Entertainment,Take-Two Interactive,Xbox,84,8.4,M,0
sales_2021,Drawn to Life: The Next Chapter,2009-01-01,5TH Cell,THQ,DS,72,7.7,E,0
sales_2022,GoldenEye: Rogue Agent,2004-01-01,EA LA,Electronic Arts,PS2,60,7.0,T,0
sales_2023,WWE 2K15,2014-01-01,Yuke's,Take-Two Interactive,Xbox 360,50,4.0,T,0
sales_2024,Star Ocean: First Departure,2007-01-01,TOSE,Square Enix,Playstation Portable,74,7.4,T,0
sales_2025,James Bond 007: Everything or Nothing,2004-01-01,EA Redwood Shores,Electronic Arts,Xbox,83,7.4,T,0
sales_2026,X2: Wolverine's Revenge,2003-01-01,GenePool,Activision,PS2,58,7.2,T,0
sales_2027,NBA Live 06,2005-01-01,EA Canada,Electronic Arts,Xbox,79,6.4,E,0
sales_2028,Rayman 3D,2011-01-01,Ubisoft Casablanca,Ubisoft,3DS,61,6.6,E,0
sales_2029,Football Manager 2014,2013-01-01,Sports Interactive,Sega,PC,85,5.5,E,0
sales_2030,TimeSplitters 2,2002-01-01,Free Radical Design,Eidos Interactive,Xbox,88,7.7,T,0
sales_2031,Onimusha: Dawn of Dreams,2006-01-01,Capcom,Capcom,PS2,81,8.9,M,0
sales_2032,Sengoku Basara: Samurai Heroes,2010-01-01,Capcom,Capcom,PS3,61,7.9,T,0
sales_2033,Stuntman: Ignition,2007-01-01,Paradigm Entertainment,THQ,Xbox 360,75,7.3,T,0
sales_2034,Real Heroes: Firefighter,2009-01-01,Epicenter Studios,Rondomedia,Wii,67,8.2,E10+,0
sales_2035,Dishonored 2,2016-01-01,Arkane Studios,Bethesda Softworks,PS4,88,7.7,M,0
sales_2036,Konami Collector's Series: Arcade Advanced,2002-01-01,KCEA,Konami Digital Entertainment,Game Boy Advance,78,,E,0
sales_2037,The Crew,2014-01-01,"Ubisoft Reflections, Ivory Tower",Ubisoft,XOne,64,5.9,T,0
sales_2038,Dragon Ball: Raging Blast 2,2010-01-01,Spike,Namco Bandai Games,Xbox 360,57,7.4,T,0
sales_2039,NHL 13,2012-01-01,Electronic Arts,Electronic Arts,PS3,84,6.8,E10+,0
sales_2040,Dead or Alive 5,2012-01-01,Team Ninja,Tecmo Koei,PS3,74,7.7,M,0
sales_2041,Evolve,2015-01-01,Turtle Rock Studios,Take-Two Interactive,XOne,74,5.1,M,0
sales_2042,Lemony Snicket's A Series of Unfortunate Events,2004-01-01,Adrenium,Activision,PS2,63,5.7,E,0
sales_2043,Lost Planet: Extreme Condition,2008-01-01,Capcom,Capcom,PS3,67,7.0,T,0
sales_2044,X-Men Legends II: Rise of Apocalypse,2005-01-01,Raven Software,Activision,PS2,82,7.3,T,0
sales_2045,SingStar Queen,2009-01-01,SCEE London Studio,Sony Computer Entertainment,PS2,73,,T,0
sales_2046,LEGO Star Wars II: The Original Trilogy,2006-01-01,Traveller's Tales,LucasArts,Xbox 360,81,8.0,E10+,0
sales_2047,Rock Band 3,2010-01-01,Backbone Entertainment,MTV Games,Wii,91,6.9,T,0
sales_2048,Dragon Age II,2011-01-01,BioWare,Electronic Arts,PC,82,4.5,M,0
sales_2049,Tony Hawk's Pro Skater 2x,2001-01-01,Treyarch,Activision,Xbox,78,8.8,T,0
sales_2050,NBA Live 08,2007-01-01,EA Canada,Electronic Arts,PS3,73,6.8,E,0
sales_2051,FIFA Soccer 2003,2002-01-01,EA Canada,Electronic Arts,Xbox,88,7.7,E,0
sales_2052,The Lord of the Rings: Conquest,2009-01-01,Pandemic Studios,Electronic Arts,Xbox 360,55,7.0,T,0
sales_2053,Far Cry 4,2014-01-01,Ubisoft Montreal,Ubisoft,PC,80,6.7,M,0
sales_2054,NASCAR 06: Total Team Control,2005-01-01,EA Sports,Electronic Arts,PS2,78,7.7,E,0
sales_2055,Iron Man,2008-01-01,Artificial Mind and Movement,Sega,Playstation Portable,44,6.5,T,0
sales_2056,White Knight Chronicles II,2010-01-01,Level 5,Sony Computer Entertainment,PS3,60,7.1,T,0
sales_2057,Juiced 2: Hot Import Nights,2007-01-01,Juice Games,THQ,Xbox 360,68,7.6,T,0
sales_2058,Wolfenstein,2009-01-01,"id Software, Raven Software",Activision,PS3,71,7.4,M,0
sales_2059,The Walking Dead: Survival Instinct,2013-01-01,Terminal Reality,Activision,Xbox 360,32,4.0,M,0
sales_2060,The Sims 3: Generations,2011-01-01,The Sims Studio,Electronic Arts,PC,70,3.6,T,0
sales_2061,Ape Escape 2,2002-01-01,SCE Japan Studio,Sony Computer Entertainment,PS2,82,8.4,E,0
sales_2062,Sega Rally Revo,2007-01-01,SEGA Racing Studio,Sega,PS3,75,7.0,E,0
sales_2063,Shin Megami Tensei: Persona 3 FES,2007-01-01,Atlus Co.,Tecmo Koei,PS2,89,8.3,M,0
sales_2064,FIFA Soccer 2002,2001-01-01,EA Sports,Electronic Arts,PS2,82,5.8,E,0
sales_2065,Angry Birds Trilogy,2012-01-01,Exient Entertainment,Activision,3DS,62,4.6,E,0
sales_2066,Condemned 2: Bloodshot,2008-01-01,Monolith Productions,Sega,Xbox 360,80,8.4,M,0
sales_2067,Okami,2006-01-01,Clover Studio,Capcom,PS2,93,9.3,T,0
sales_2068,Shin Megami Tensei: Persona 3 Portable,2009-01-01,Atlus,Ghostlight,Playstation Portable,89,8.3,M,0
sales_2069,NHL 2001,2000-01-01,Page 44 Studios,Electronic Arts,Playstation,88,7.7,E,0
sales_2070,Crysis 3,2013-01-01,Crytek,Electronic Arts,PC,76,6.5,M,0
